"species";"Region";"LifeForm";"off_FirstRec";"count";"firstRec";"phylum";"class";"timeLag";"eu_status";"scopus";"EASIN_Id";"Status";"TER";"FRW";"MAR";"EST";"habitat";"worst_100_world_ISSG";"worst_100_Europe_DAISIE";"mentioned_in_EU_quarantine_species";"partly_native";"obsEffort_LF";"ResearchEffort";"nOccTotSp";"obsInNeigborCountryBefore";"google_sum";"google_mean";"google_country_porc";"google_country"
"Abies nordmanniana";"France";"Vascular plants";NA;3;2018;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";3156527;142;516;NA;1071;7.4375;16;119
"Abies nordmanniana";"Germany";"Vascular plants";NA;56;2009;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2829627;51;516;NA;1071;7.4375;20;148.75
"Abies nordmanniana";"Italy";"Vascular plants";NA;2;2020;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";967299;162;516;NA;1071;7.4375;13;96.6875
"Abies nordmanniana";"Netherlands";"Vascular plants";NA;14;1996;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";4472543;30;516;NA;1071;7.4375;38;282.625
"Abies nordmanniana";"Norway";"Vascular plants";NA;39;2009;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1755502;76;516;NA;1071;7.4375;0;0
"Abies nordmanniana";"Poland";"Vascular plants";NA;1;2020;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";147169;17;516;NA;1071;7.4375;21;156.1875
"Abies nordmanniana";"Sea or Ocean";"Vascular plants";NA;107;1990;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;516;FALSE;1071;7.4375;NA;NA
"Abies nordmanniana";"Spain";"Vascular plants";NA;2;2013;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";713438;120;516;NA;1071;7.4375;18;133.875
"Abies nordmanniana";"Sweden";"Vascular plants";NA;255;1993;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";7997425;26;516;NA;1071;7.4375;22;163.625
"Abies nordmanniana";"United Kingdom";"Vascular plants";NA;4;2015;"Tracheophyta";"Pinopsida";NA;"NO";1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";729813;102;516;NA;1071;7.4375;12;89.25
"Abies veitchii";"Germany";"Vascular plants";NA;4;2017;"Tracheophyta";"Pinopsida";NA;"NO";523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;56;FALSE;124;0.861111111111111;0;0
"Abies veitchii";"Norway";"Vascular plants";2012;4;2017;"Tracheophyta";"Pinopsida";5;"NO";523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;76;56;TRUE;124;0.861111111111111;0;0
"Abies veitchii";"Sea or Ocean";"Vascular plants";NA;4;2017;"Tracheophyta";"Pinopsida";NA;"NO";523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;56;FALSE;124;0.861111111111111;NA;NA
"Abies veitchii";"Sweden";"Vascular plants";NA;44;2002;"Tracheophyta";"Pinopsida";NA;"NO";523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;26;56;NA;124;0.861111111111111;0;0
"Abudefduf sexfasciatus";"Greece";"Fishes";2017;NA;NA;"Chordata";"Actinopterygii";NA;"NO";72;"R19652";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";808;144;NA;FALSE;NA;NA;NA;NA
"Abudefduf sexfasciatus";"Sea or Ocean";"Fishes";NA;1;2017;"Chordata";"Actinopterygii";NA;"NO";72;"R19652";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;NA;NA;NA;NA
"Abutilon grandifolium";"Italy";"Vascular plants";NA;1;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";8;"R00030";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";967299;162;NA;NA;NA;NA;NA;NA
"Abutilon grandifolium";"Portugal";"Vascular plants";2010;NA;NA;"Tracheophyta";"Magnoliopsida";NA;"NO";8;"R00030";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;83;NA;FALSE;NA;NA;NA;NA
"Abutilon grandifolium";"Sea or Ocean";"Vascular plants";NA;1;2021;"Tracheophyta";"Magnoliopsida";NA;"NO";8;"R00030";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;NA;NA;NA;NA
"Acacia baileyana";"France";"Vascular plants";2011;1;2021;"Tracheophyta";"Magnoliopsida";10;"NO";160;"R00035";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";3156527;142;3;FALSE;899;6.24305555555556;3;18.7291666666667
"Acacia baileyana";"Portugal";"Vascular plants";NA;1;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";160;"R00035";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;83;3;FALSE;899;6.24305555555556;0;0
"Acacia baileyana";"Sea or Ocean";"Vascular plants";NA;1;2019;"Tracheophyta";"Magnoliopsida";NA;"NO";160;"R00035";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;3;FALSE;899;6.24305555555556;NA;NA
"Acacia salicina";"Portugal";"Vascular plants";NA;1;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";659;"R00052";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;83;NA;NA;NA;NA;NA;NA
"Acacia salicina";"Sea or Ocean";"Vascular plants";NA;3;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";659;"R00052";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;NA;NA;NA;NA
"Acacia salicina";"Spain";"Vascular plants";2018;NA;NA;"Tracheophyta";"Magnoliopsida";NA;"NO";659;"R00052";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";713438;120;NA;TRUE;NA;NA;NA;NA
"Acanalonia conica";"Austria";"Insects";NA;14;2020;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";122100;44;NA;NA;NA;NA;NA;NA
"Acanalonia conica";"Czech Republic";"Insects";NA;1;2020;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";47792;28;NA;NA;NA;NA;NA;NA
"Acanalonia conica";"France";"Insects";NA;2;2020;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";514135;142;NA;NA;NA;NA;NA;NA
"Acanalonia conica";"Italy";"Insects";NA;216;2010;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";205611;162;NA;NA;NA;NA;NA;NA
"Acanalonia conica";"Sea or Ocean";"Insects";NA;4;2017;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;NA;NA;NA;NA
"Acanalonia conica";"Serbia";"Insects";2019;NA;NA;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";11129;54;NA;FALSE;NA;NA;NA;NA
"Acanalonia conica";"Slovenia";"Insects";2017;NA;NA;"Arthropoda";"Insecta";NA;"NO";20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";20810;45;NA;TRUE;NA;NA;NA;NA
"Acanthurus chirurgus";"Italy";"Fishes";2012;NA;NA;"Chordata";"Actinopterygii";NA;"NO";60;"R19333";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";3303;162;NA;FALSE;NA;NA;NA;NA
"Acanthurus coeruleus";"Cyprus";"Fishes";2011;NA;NA;"Chordata";"Actinopterygii";NA;"NO";158;"R19118";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";0;107;NA;FALSE;NA;NA;NA;NA
"Acanthurus monroviae";"Greece";"Fishes";2015;NA;NA;"Chordata";"Actinopterygii";NA;"NO";124;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"NO";808;144;NA;FALSE;NA;NA;NA;NA
"Acanthurus monroviae";"Sea or Ocean";"Fishes";NA;1;2017;"Chordata";"Actinopterygii";NA;"NO";124;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;NA;NA;NA;NA
"Acanthurus sohal";"Greece";"Fishes";2017;NA;NA;"Chordata";"Actinopterygii";NA;"NO";208;"R19653";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";808;144;NA;FALSE;NA;NA;NA;NA
"Acanthurus sohal";"Sea or Ocean";"Fishes";NA;2;2017;"Chordata";"Actinopterygii";NA;"NO";208;"R19653";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;NA;NA;NA;NA
"Acanthus spinosus";"Albania";"Vascular plants";NA;4;2017;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2476;54;289;NA;473;3.28472222222222;0;0
"Acanthus spinosus";"Belgium";"Vascular plants";2016;7;2015;"Tracheophyta";"Magnoliopsida";-1;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1132699;480;289;FALSE;473;3.28472222222222;0;0
"Acanthus spinosus";"Denmark";"Vascular plants";NA;1;2021;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";63407;18;289;NA;473;3.28472222222222;0;0
"Acanthus spinosus";"Germany";"Vascular plants";NA;5;2017;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2829627;51;289;NA;473;3.28472222222222;19;62.4097222222222
"Acanthus spinosus";"Greece";"Vascular plants";NA;110;1992;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";46853;144;289;NA;473;3.28472222222222;0;0
"Acanthus spinosus";"Italy";"Vascular plants";NA;14;2017;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";967299;162;289;NA;473;3.28472222222222;12;39.4166666666666
"Acanthus spinosus";"Montenegro";"Vascular plants";NA;2;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";5319;2;289;NA;473;3.28472222222222;0;0
"Acanthus spinosus";"Sea or Ocean";"Vascular plants";NA;92;1995;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;289;FALSE;473;3.28472222222222;NA;NA
"Acanthus spinosus";"The former Yugoslav Republic of Macedonia";"Vascular plants";NA;1;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;289;FALSE;473;3.28472222222222;NA;NA
"Acanthus spinosus";"United Kingdom";"Vascular plants";NA;53;2007;"Tracheophyta";"Magnoliopsida";NA;"NO";57;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";729813;102;289;FALSE;473;3.28472222222222;100;328.472222222222
"Accipiter gentilis";"Aaland Islands";NA;NA;2;1995;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;352109;FALSE;NA;NA;NA;NA
"Accipiter gentilis";"Albania";NA;NA;15;1996;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;54;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Andorra";NA;NA;2;1991;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;1;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Austria";NA;NA;316;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;44;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Belarus";NA;NA;266;1999;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;352109;FALSE;NA;NA;NA;NA
"Accipiter gentilis";"Belgium";NA;NA;326;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;480;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Bosnia and Herzegovina";NA;NA;15;2001;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;14;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Bulgaria";NA;NA;487;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;8;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Croatia";NA;NA;161;2004;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;19;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Czech Republic";NA;NA;666;1991;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;28;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Denmark";NA;NA;28305;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;18;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Estonia";NA;NA;106;1992;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;5;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Finland";NA;NA;1700;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;2;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"France";NA;NA;1104;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;142;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Germany";NA;NA;16104;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;51;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Greece";NA;NA;238;1991;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;144;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Hungary";NA;NA;348;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;18;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Ireland";NA;NA;2;2015;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;13;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Isle of Man";NA;NA;1;2011;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;352109;FALSE;NA;NA;NA;NA
"Accipiter gentilis";"Italy";NA;NA;475;1993;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;162;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Latvia";NA;NA;201;1993;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;6;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Liechtenstein";NA;NA;1;1999;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;1;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Lithuania";NA;NA;225;2006;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;3;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Luxembourg";NA;NA;61;1996;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;1;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Montenegro";NA;NA;14;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;2;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Netherlands";NA;NA;2271;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;30;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Norway";NA;NA;35862;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;76;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Poland";NA;NA;692;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;17;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Portugal";NA;NA;3930;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;83;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Republic of Moldova";NA;NA;101;2016;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;352109;FALSE;NA;NA;NA;NA
"Accipiter gentilis";"Romania";NA;NA;111;1991;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;3;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Sea or Ocean";NA;NA;97599;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;352109;FALSE;NA;NA;NA;NA
"Accipiter gentilis";"Serbia";NA;NA;378;1992;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;54;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Slovakia";NA;NA;166;1995;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;19;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Slovenia";NA;NA;62;1992;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;45;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Spain";NA;NA;8101;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;120;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Sweden";NA;NA;150316;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;26;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"Switzerland";NA;NA;507;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;13;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"The former Yugoslav Republic of Macedonia";NA;NA;7;2017;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;352109;FALSE;NA;NA;NA;NA
"Accipiter gentilis";"Ukraine";NA;NA;514;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;7;352109;NA;NA;NA;NA;NA
"Accipiter gentilis";"United Kingdom";NA;NA;351;1990;NA;NA;NA;"NO";2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;102;352109;NA;NA;NA;NA;NA
"Acer cissifolium";"Belgium";"Vascular plants";2014;6;2014;"Tracheophyta";"Magnoliopsida";0;"NO";16;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;480;7;TRUE;100;0.694444444444444;0;0
"Acer cissifolium";"Germany";"Vascular plants";NA;1;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";16;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;7;NA;100;0.694444444444444;0;0
"Acer japonicum";"Belgium";"Vascular plants";2010;4;2012;"Tracheophyta";"Magnoliopsida";2;"NO";439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;480;18;FALSE;1467;10.1875;100;1018.75
"Acer japonicum";"Germany";"Vascular plants";NA;7;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;18;NA;1467;10.1875;23;234.3125
"Acer japonicum";"Norway";"Vascular plants";NA;3;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;76;18;NA;1467;10.1875;0;0
"Acer japonicum";"Sea or Ocean";"Vascular plants";NA;3;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;18;FALSE;1467;10.1875;NA;NA
