"country";"LifeForm";"count"
"Greece";"Crustaceans";372
"Guernsey";"Crustaceans";14
"Hungary";"Crustaceans";18
"Iceland";"Crustaceans";90
"Ireland";"Crustaceans";954
"Isle of Man";"Crustaceans";170
"Italy";"Crustaceans";1267
"Jersey";"Crustaceans";15
"Latvia";"Crustaceans";15
"Lithuania";"Crustaceans";166
"Luxembourg";"Crustaceans";143
"Malta";"Crustaceans";9
"Montenegro";"Crustaceans";56
"Netherlands";"Crustaceans";13990
"Norway";"Crustaceans";2501
"Poland";"Crustaceans";192
"Portugal";"Crustaceans";632
"Romania";"Crustaceans";14
"Serbia";"Crustaceans";20
"Slovakia";"Crustaceans";29
"Slovenia";"Crustaceans";54
"Spain";"Crustaceans";1004
"Sweden";"Crustaceans";11339
"Switzerland";"Crustaceans";124
"The former Yugoslav Republic of Macedonia";"Crustaceans";1
"Ukraine";"Crustaceans";138
"United Kingdom";"Crustaceans";22722
"Sea or Ocean";"Crustaceans";70968
"Aaland Islands";"Fishes";2
"Albania";"Fishes";21
"Austria";"Fishes";632
"Belarus";"Fishes";125
"Belgium";"Fishes";11216
"Bosnia and Herzegovina";"Fishes";3
"Bulgaria";"Fishes";31
"Croatia";"Fishes";776
"Czech Republic";"Fishes";513
"Denmark";"Fishes";619
"Estonia";"Fishes";16
"Faroe Islands";"Fishes";1
"Finland";"Fishes";549
"France";"Fishes";3461
"Germany";"Fishes";11322
"Greece";"Fishes";808
"Guernsey";"Fishes";13
"Hungary";"Fishes";68
"Iceland";"Fishes";31
"Ireland";"Fishes";1183
"Isle of Man";"Fishes";434
"Italy";"Fishes";3303
"Jersey";"Fishes";42
"Latvia";"Fishes";27
"Lithuania";"Fishes";276
"Luxembourg";"Fishes";57
"Malta";"Fishes";33
"Montenegro";"Fishes";130
"Netherlands";"Fishes";118551
"Norway";"Fishes";8580
"Poland";"Fishes";237
"Portugal";"Fishes";1038
"Republic of Moldova";"Fishes";11
"Romania";"Fishes";47
"Serbia";"Fishes";55
"Slovakia";"Fishes";82
"Slovenia";"Fishes";279
"Spain";"Fishes";1622
"Svalbard";"Fishes";1
"Sweden";"Fishes";265
"Switzerland";"Fishes";307
"The former Yugoslav Republic of Macedonia";"Fishes";5
"Ukraine";"Fishes";252
"United Kingdom";"Fishes";24282
"Sea or Ocean";"Fishes";108334
"Aaland Islands";"Fungi";6
"Albania";"Fungi";12
"Andorra";"Fungi";4
"Austria";"Fungi";9737
"Belarus";"Fungi";2494
"Belgium";"Fungi";15321
"Bosnia and Herzegovina";"Fungi";99
"Bulgaria";"Fungi";315
"Croatia";"Fungi";367
"Czech Republic";"Fungi";5173
"Denmark";"Fungi";466932
"Estonia";"Fungi";728
"Faroe Islands";"Fungi";14
"Finland";"Fungi";14551
"France";"Fungi";24642
"Germany";"Fungi";141206
"Greece";"Fungi";778
"Guernsey";"Fungi";1
"Hungary";"Fungi";208
"Iceland";"Fungi";191
"Ireland";"Fungi";241
"Isle of Man";"Fungi";26
"Italy";"Fungi";21289
"Jersey";"Fungi";8
"Latvia";"Fungi";419
"Liechtenstein";"Fungi";1434
"Lithuania";"Fungi";10608
"Luxembourg";"Fungi";603
"Malta";"Fungi";5
"Montenegro";"Fungi";69
"Netherlands";"Fungi";662321
"Norway";"Fungi";465749
"Poland";"Fungi";4513
"Portugal";"Fungi";3311
"Republic of Moldova";"Fungi";23
"Romania";"Fungi";402
"Serbia";"Fungi";1880
"Slovakia";"Fungi";1749
"Slovenia";"Fungi";406
"Spain";"Fungi";15312
"Sweden";"Fungi";2464678
"Switzerland";"Fungi";591676
"The former Yugoslav Republic of Macedonia";"Fungi";27
"Ukraine";"Fungi";5644
"United Kingdom";"Fungi";25198
"Sea or Ocean";"Fungi";776627
"Aaland Islands";"Insects";11195
"Albania";"Insects";3899
"Andorra";"Insects";379
"Austria";"Insects";122100
"Belarus";"Insects";8870
"Belgium";"Insects";482504
"Bosnia and Herzegovina";"Insects";1392
"Bulgaria";"Insects";15172
"Croatia";"Insects";13442
"Czech Republic";"Insects";47792
"Denmark";"Insects";771382
"Estonia";"Insects";3828
"Faroe Islands";"Insects";27
"Finland";"Insects";2620879
"France";"Insects";514135
"Germany";"Insects";1575546
"Greece";"Insects";41715
"Guernsey";"Insects";26
"Hungary";"Insects";15818
"Iceland";"Insects";132
"Ireland";"Insects";4923
"Isle of Man";"Insects";197
"Italy";"Insects";205611
"Jersey";"Insects";130
"Latvia";"Insects";1008
"Liechtenstein";"Insects";2010
"Lithuania";"Insects";18558
"Luxembourg";"Insects";19612
"Malta";"Insects";118
"Montenegro";"Insects";2725
"Netherlands";"Insects";6331084
"Norway";"Insects";598977
"Poland";"Insects";30488
"Portugal";"Insects";52871
"Republic of Moldova";"Insects";413
"Romania";"Insects";11945
"San Marino";"Insects";9
"Serbia";"Insects";11129
"Slovakia";"Insects";7382
"Slovenia";"Insects";20810
"Spain";"Insects";264021
"Sweden";"Insects";4018887
"Switzerland";"Insects";1509736
"The former Yugoslav Republic of Macedonia";"Insects";7096
"Ukraine";"Insects";21266
"United Kingdom";"Insects";6320677
"Sea or Ocean";"Insects";4284682
"Albania";"Invertebrates (excl. Arthropods, Molluscs)";4
"Austria";"Invertebrates (excl. Arthropods, Molluscs)";63
"Belarus";"Invertebrates (excl. Arthropods, Molluscs)";13
"Belgium";"Invertebrates (excl. Arthropods, Molluscs)";313
"Bulgaria";"Invertebrates (excl. Arthropods, Molluscs)";2
"Croatia";"Invertebrates (excl. Arthropods, Molluscs)";163
"Czech Republic";"Invertebrates (excl. Arthropods, Molluscs)";22
"Denmark";"Invertebrates (excl. Arthropods, Molluscs)";365
"Estonia";"Invertebrates (excl. Arthropods, Molluscs)";6
"Finland";"Invertebrates (excl. Arthropods, Molluscs)";24
"France";"Invertebrates (excl. Arthropods, Molluscs)";1276
"Germany";"Invertebrates (excl. Arthropods, Molluscs)";1755
"Greece";"Invertebrates (excl. Arthropods, Molluscs)";386
"Guernsey";"Invertebrates (excl. Arthropods, Molluscs)";30
"Hungary";"Invertebrates (excl. Arthropods, Molluscs)";6
"Iceland";"Invertebrates (excl. Arthropods, Molluscs)";25
"Ireland";"Invertebrates (excl. Arthropods, Molluscs)";2949
"Isle of Man";"Invertebrates (excl. Arthropods, Molluscs)";471
"Italy";"Invertebrates (excl. Arthropods, Molluscs)";495
"Jersey";"Invertebrates (excl. Arthropods, Molluscs)";31
"Latvia";"Invertebrates (excl. Arthropods, Molluscs)";3
"Lithuania";"Invertebrates (excl. Arthropods, Molluscs)";23
"Luxembourg";"Invertebrates (excl. Arthropods, Molluscs)";7
"Malta";"Invertebrates (excl. Arthropods, Molluscs)";10
"Montenegro";"Invertebrates (excl. Arthropods, Molluscs)";50
"Netherlands";"Invertebrates (excl. Arthropods, Molluscs)";5159
"Norway";"Invertebrates (excl. Arthropods, Molluscs)";2561
"Poland";"Invertebrates (excl. Arthropods, Molluscs)";29
"Portugal";"Invertebrates (excl. Arthropods, Molluscs)";328
"Romania";"Invertebrates (excl. Arthropods, Molluscs)";6
"Serbia";"Invertebrates (excl. Arthropods, Molluscs)";4
"Slovakia";"Invertebrates (excl. Arthropods, Molluscs)";6
"Slovenia";"Invertebrates (excl. Arthropods, Molluscs)";36
"Spain";"Invertebrates (excl. Arthropods, Molluscs)";494
"Sweden";"Invertebrates (excl. Arthropods, Molluscs)";11873
"Switzerland";"Invertebrates (excl. Arthropods, Molluscs)";8
"Ukraine";"Invertebrates (excl. Arthropods, Molluscs)";54
"United Kingdom";"Invertebrates (excl. Arthropods, Molluscs)";70382
"Sea or Ocean";"Invertebrates (excl. Arthropods, Molluscs)";216731
"Aaland Islands";"Mammals";3
"Albania";"Mammals";54
"Andorra";"Mammals";25
"Austria";"Mammals";9615
"Belarus";"Mammals";979
"Belgium";"Mammals";85303
"Bosnia and Herzegovina";"Mammals";161
"Bulgaria";"Mammals";827
"Croatia";"Mammals";438
"Czech Republic";"Mammals";2902
"Denmark";"Mammals";134282
"Estonia";"Mammals";804
"Faroe Islands";"Mammals";5
"Finland";"Mammals";3123
"France";"Mammals";42900
"Germany";"Mammals";216679
"Greece";"Mammals";897
"Guernsey";"Mammals";1
"Hungary";"Mammals";1349
"Iceland";"Mammals";581
"Ireland";"Mammals";404
"Isle of Man";"Mammals";15
"Italy";"Mammals";21214
"Jersey";"Mammals";13
"Latvia";"Mammals";102
"Liechtenstein";"Mammals";1167
"Lithuania";"Mammals";1174
"Luxembourg";"Mammals";1493
"Malta";"Mammals";3
"Montenegro";"Mammals";112
"Netherlands";"Mammals";806607
"Norway";"Mammals";123590
"Poland";"Mammals";5001
"Portugal";"Mammals";3358
"Republic of Moldova";"Mammals";19
"Romania";"Mammals";1503
"Serbia";"Mammals";176
"Slovakia";"Mammals";646
"Slovenia";"Mammals";655
"Spain";"Mammals";17544
"Sweden";"Mammals";193750
"Switzerland";"Mammals";353595
"The former Yugoslav Republic of Macedonia";"Mammals";36
"Ukraine";"Mammals";1250
"United Kingdom";"Mammals";17979
"Sea or Ocean";"Mammals";319382
"Aaland Islands";"Molluscs";3
"Albania";"Molluscs";138
"Andorra";"Molluscs";3
"Austria";"Molluscs";5667
"Belarus";"Molluscs";488
"Belgium";"Molluscs";10374
"Bosnia and Herzegovina";"Molluscs";11
"Bulgaria";"Molluscs";189
"Croatia";"Molluscs";373
"Czech Republic";"Molluscs";1877
"Denmark";"Molluscs";3689
"Estonia";"Molluscs";108
"Faroe Islands";"Molluscs";11
"Finland";"Molluscs";1037
"France";"Molluscs";14850
"Germany";"Molluscs";41283
"Greece";"Molluscs";1303
"Guernsey";"Molluscs";183
"Hungary";"Molluscs";187
"Iceland";"Molluscs";59
"Ireland";"Molluscs";1560
"Isle of Man";"Molluscs";276
"Italy";"Molluscs";7491
"Jersey";"Molluscs";227
"Latvia";"Molluscs";182
"Liechtenstein";"Molluscs";423
"Lithuania";"Molluscs";1673
"Luxembourg";"Molluscs";577
"Malta";"Molluscs";10
"Montenegro";"Molluscs";65
"Netherlands";"Molluscs";63732
"Norway";"Molluscs";8482
"Poland";"Molluscs";1168
"Portugal";"Molluscs";2273
"Republic of Moldova";"Molluscs";18
"Romania";"Molluscs";188
"Serbia";"Molluscs";135
"Slovakia";"Molluscs";515
"Slovenia";"Molluscs";250
"Spain";"Molluscs";3301
"Sweden";"Molluscs";46097
"Switzerland";"Molluscs";184577
"The former Yugoslav Republic of Macedonia";"Molluscs";6
"Ukraine";"Molluscs";1567
"United Kingdom";"Molluscs";59137
"Sea or Ocean";"Molluscs";198540
"Aaland Islands";"Reptiles";2
"Albania";"Reptiles";534
"Andorra";"Reptiles";5
"Austria";"Reptiles";4200
"Belarus";"Reptiles";331
"Belgium";"Reptiles";5821
"Bosnia and Herzegovina";"Reptiles";213
"Bulgaria";"Reptiles";1373
"Croatia";"Reptiles";2255
"Czech Republic";"Reptiles";1472
"Denmark";"Reptiles";5974
"Estonia";"Reptiles";117
"Finland";"Reptiles";609
"France";"Reptiles";16811
"Germany";"Reptiles";31123
"Greece";"Reptiles";5623
"Guernsey";"Reptiles";1
"Hungary";"Reptiles";840
"Ireland";"Reptiles";13
"Isle of Man";"Reptiles";1
"Italy";"Reptiles";19492
"Jersey";"Reptiles";16
"Latvia";"Reptiles";48
"Liechtenstein";"Reptiles";4
"Lithuania";"Reptiles";428
"Luxembourg";"Reptiles";537
"Malta";"Reptiles";72
"Montenegro";"Reptiles";595
"Netherlands";"Reptiles";98130
"Norway";"Reptiles";7728
"Poland";"Reptiles";1667
"Portugal";"Reptiles";4791
"Republic of Moldova";"Reptiles";35
"Romania";"Reptiles";1181
"Serbia";"Reptiles";358
"Slovakia";"Reptiles";455
"Slovenia";"Reptiles";863
"Spain";"Reptiles";16959
"Sweden";"Reptiles";21273
"Switzerland";"Reptiles";2663
"The former Yugoslav Republic of Macedonia";"Reptiles";319
"Ukraine";"Reptiles";1252
"United Kingdom";"Reptiles";2430
"Sea or Ocean";"Reptiles";33584
"Aaland Islands";"Vascular plants";185
"Albania";"Vascular plants";2476
"Andorra";"Vascular plants";779
"Austria";"Vascular plants";405467
"Belarus";"Vascular plants";46462
"Belgium";"Vascular plants";1132699
"Bosnia and Herzegovina";"Vascular plants";9027
"Bulgaria";"Vascular plants";14218
"Croatia";"Vascular plants";40792
"Czech Republic";"Vascular plants";391053
"Denmark";"Vascular plants";63407
"Estonia";"Vascular plants";7196
"Faroe Islands";"Vascular plants";167
"Finland";"Vascular plants";81315
"France";"Vascular plants";3156527
"Germany";"Vascular plants";2829627
"Greece";"Vascular plants";46853
"Guernsey";"Vascular plants";211
"Hungary";"Vascular plants";36958
"Iceland";"Vascular plants";7508
"Ireland";"Vascular plants";26889
"Isle of Man";"Vascular plants";710
"Italy";"Vascular plants";967299
"Jersey";"Vascular plants";444
"Latvia";"Vascular plants";6060
"Liechtenstein";"Vascular plants";2000
"Lithuania";"Vascular plants";40458
"Luxembourg";"Vascular plants";37577
"Malta";"Vascular plants";632
"Montenegro";"Vascular plants";5319
"Netherlands";"Vascular plants";4472543
"Norway";"Vascular plants";1755502
"Poland";"Vascular plants";147169
"Portugal";"Vascular plants";107614
"Republic of Moldova";"Vascular plants";1828
"Romania";"Vascular plants";31057
"San Marino";"Vascular plants";166
"Serbia";"Vascular plants";14179
"Slovakia";"Vascular plants";84761
"Slovenia";"Vascular plants";38312
"Spain";"Vascular plants";713438
"Svalbard";"Vascular plants";3
"Sweden";"Vascular plants";7997425
"Switzerland";"Vascular plants";453426
"The former Yugoslav Republic of Macedonia";"Vascular plants";2784
"Ukraine";"Vascular plants";146355
"United Kingdom";"Vascular plants";729813
"Sea or Ocean";"Vascular plants";4202690
"New Zealand";"Insects";114149
"New Zealand";"Vascular plants";418047
