"SeebName";"species";"phylum";"class";"kingdom";"LifeForm"
"Symphytum bulbosum";"Symphytum bulbosum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Perovskia abrotanoides";"Salvia abrotanoides";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sporobolus indicus";"Sporobolus indicus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Xanthium albinum subsp. Albinum";"Xanthium albinum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Erodium manescavii";"Erodium manescavi";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Galanthus woronowii";"Galanthus woronowii";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Bistorta amplexicaulis";"Bistorta amplexicaulis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Flueggea suffruticosa";"Flueggea suffruticosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Perovskia atriplicifolia";"Salvia yangii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Phyla nodiflora";"Phyla nodiflora";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sempervivum arachnoideum subsp. tomentosum";"Sempervivum arachnoideum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sempervivum arachnoideum subsp. tomentosum � S. tectorum";"Sempervivum arachnoideum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Talinum paniculatum";"Talinum paniculatum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Callopistromyia annulipes";"Callopistromyia annulipes";"Arthropoda";"Insecta";"Animalia";"Insects"
"Blechnum occidentale";"Blechnum occidentale";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Leptoglossus occidentalis";"Leptoglossus occidentalis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Dasysiphonia japonica";"Dasysiphonia japonica";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Ammothea hilgendorfi";"Ammothea hilgendorfi";"Arthropoda";"Pycnogonida";"Animalia";"Arthropods p.p. (Myriapods, Diplopods etc.)"
"Balanus glandula";"Balanus glandula";"Arthropoda";"Maxillopoda";"Animalia";"Crustaceans"
"Pseudodiaptomus marinus";"Pseudodiaptomus marinus";"Arthropoda";"Copepoda";"Animalia";NA
"Gobiosoma bosc";"Gobiosoma bosc";"Chordata";NA;"Animalia";NA
"Neogobius melanostomus";"Neogobius melanostomus";"Chordata";NA;"Animalia";NA
"Oncorhynchus clarkii";"Oncorhynchus clarkii";"Chordata";NA;"Animalia";NA
"Aproceros leucopoda";"Aproceros leucopoda";"Arthropoda";"Insecta";"Animalia";"Insects"
"Contarinia pseudotsugae";"Contarinia pseudotsugae";"Arthropoda";"Insecta";"Animalia";"Insects"
"Cydalima perspectalis";"Cydalima perspectalis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Vespa velutina";"Vespa velutina";"Arthropoda";"Insecta";"Animalia";"Insects"
"Zyginella pulchra";"Zyginella pulchra";"Arthropoda";"Insecta";"Animalia";"Insects"
"Castor canadensis";"Castor canadensis";"Chordata";"Mammalia";"Animalia";"Mammals"
"Abies grandis";"Abies grandis";"Tracheophyta";"Pinopsida";"Plantae";"Vascular plants"
"Abies homolepis";"Abies homolepis";"Tracheophyta";"Pinopsida";"Plantae";"Vascular plants"
"Abies nordmanniana";"Abies nordmanniana";"Tracheophyta";"Pinopsida";"Plantae";"Vascular plants"
"Acanthus spinosus";"Acanthus spinosus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Acer saccharinum";"Acer saccharinum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Acer cissifolium";"Acer cissifolium";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Acer ginnala";"Acer tataricum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Acer japonicum";"Acer japonicum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Acer monspessulanum";"Acer monspessulanum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Acer palmatum";"Acer palmatum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Aconogonon campanulatum";"Koenigia campanulata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Aconogonon divaricatum";"Koenigia divaricata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Aconogonon x fennicum";"Koenigia fennica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Adiantum aleuticum";"Adiantum aleuticum";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Aesculus parviflora";"Aesculus parviflora";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Aesculus pavia (incl. var. discolor)";"Aesculus pavia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Agave americana";"Agave americana";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Akebia quinata";"Akebia quinata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Alcea rugosa";"Alcea rugosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Allium cepa";"Allium cepa";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium karataviense";"Allium karataviense";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium lusitanicum";"Allium lusitanicum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium christophii";"Allium christophii";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium hollandicum";"Allium hollandicum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium macleanii";"Allium macleanii";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium nigrum";"Allium nigrum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium odorum";"Allium odorum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium pendulinum";"Allium pendulinum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium ampeloprasum";"Allium ampeloprasum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium ramosum s.l.";"Allium ramosum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium roseum";"Allium roseum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Allium triquetrum";"Allium triquetrum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Alnus x pubescens";"Alnus pubescens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Alnus x spaethii";"Alnus spaethii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Alonsoa intermedia";"Alonsoa linearis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Ammannia coccinea";"Ammannia coccinea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Anaphalis triplinervis";"Anaphalis triplinervis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Arabis planisiliqua";"Arabis planisiliqua";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Arabis procurrens";"Arabis procurrens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Arbutus unedo";"Arbutus unedo";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Argyranthemum frutescens";"Argyranthemum frutescens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Armeria maritima";"Armeria maritima";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Artemisia siversiana";"Artemisia sieversiana";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Artemisia princeps";"Artemisia princeps";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Artemisia sieversiana";"Artemisia sieversiana";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Arundo donax";"Arundo donax";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Aster ageratoides";"Aster ageratoides";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Athyrium niponicum";"Anisocampium niponicum";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Ballota nigra";"Ballota nigra";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bartsia trixago";"Bellardia trixago";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis aquifolium";"Mahonia aquifolium";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis bealei (incl. hybrids)";"Mahonia bealei";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis wilsoniae";"Berberis wilsoniae";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis x hybrido-gagnepainii";"Berberis hybridogagnepainii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis x interposita";"Berberis interposita";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bergenia x schmidtii";"Bergenia ciliata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bergenia cordifolia";"Bergenia crassifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bergenia crassifolia";"Bergenia crassifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Betula papyrifera";"Betula papyrifera";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bistorta affinis";"Bistorta affinis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Blitum virgatum";"Blitum virgatum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bolboschoenus yagara";"Bolboschoenus yagara";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Bolboschoenus glaucus";"Bolboschoenus glaucus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Brassica barrelieri";"Brassica barrelieri";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Brassica carinata";"Brassica carinata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Bromus carinatus var. carinatus";"Bromus carinatus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Bromus japonicus subsp. phrygius";"Bromus japonicus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Callicarpa bodinieri";"Callicarpa bodinieri";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Camassia leichtlinii subsp. suksdorfii";"Camassia leichtlinii";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Canna generalis";"Canna generalis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex muricata";"Carex muricata";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex praecox";"Carex praecox";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex agastachys";"Carex agastachys";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex grayi";"Carex grayi";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex loliacea";"Carex loliacea";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex muskingumensis";"Carex muskingumensis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Carex scoparia";"Carex scoparia";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Caryopteris incana";"Caryopteris incana";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Caryopteris x clandonensis";"Caryopteris clandonensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Centaurea benedicta";"Centaurea benedicta";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Centaurea macroptilon";"Centaurea macroptilon";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Centaurea calocephala";"Centaurea calocephala";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cercidiphyllum japonicum";"Cercidiphyllum japonicum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Chamaenerion dodonaei";"Chamaenerion dodonaei";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Chelone obliqua";"Chelone obliqua";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Chenopodium x preissmannii";"Chenopodium betulifolium";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Chenopodium x reynieri";"Chenopodium reynieri";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Chionodoxa sardensis";"Scilla sardensis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Cichorium calvum";"Cichorium calvum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Clarkia bottae";"Clarkia bottae";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Clarkia purpurea";"Clarkia purpurea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Clarkia amoena";"Clarkia amoena";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Claytonia rubra";"Claytonia rubra";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Clematis montana";"Clematis montana";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Clerodendrum bungei";"Clerodendrum bungei";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Conringia planisiliqua";"Conringia planisiliqua";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cornus sanguinea subsp. hungarica";"Cornus sanguinea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Corylus colurna";"Corylus colurna";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cosmos sulphureus";"Cosmos sulphureus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster bullatus";"Cotoneaster bullatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster watereri";"Cotoneaster watereri";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster ambiguus";"Cotoneaster ambiguus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster ascendens";"Cotoneaster ascendens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster boisianus";"Cotoneaster bullatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster conspicuus";"Cotoneaster conspicuus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster coriaceus (incl. C. lacteus)";"Cotoneaster coriaceus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster ganghobaensis";"Cotoneaster ganghobaensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster hylmoei";"Cotoneaster salicifolius";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster laetevirens";"Cotoneaster ambiguus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster lucidus";"Cotoneaster acutifolius";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster mairei";"Cotoneaster franchetii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster moupinensis";"Cotoneaster moupinensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster nanshan";"Cotoneaster nanshan";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster qungbixiensis";"Cotoneaster qungbixiensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster zabelii";"Cotoneaster zabelii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Crataegus pedicellata";"Crataegus coccinea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Crepis bursifolia";"Crepis bursifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Crocosmia x crocosmiiflora";"Crocosmia crocosmiiflora";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Crocus chrysanthus";"Crocus chrysanthus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Crocus x stellaris";"Crocus luteus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Cucurbita maxima";"Cucurbita maxima";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cucurbita moschata";"Cucurbita moschata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cuscuta epilinum";"Cuscuta epilinum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cuscuta lupuliformis";"Cuscuta lupuliformis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cyclachaena xanthiifolia";"Cyclachaena xanthiifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cyclamen coum";"Cyclamen coum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cynara cardunculus";"Cynara cardunculus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cynoglossum amabile";"Cynoglossum amabile";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Daboecia cantabrica";"Daboecia cantabrica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Dahlia coccinea";"Dahlia coccinea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Danae racemosa";"Danae racemosa";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Darmera peltata";"Darmera peltata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Decaisnea insignis";"Decaisnea insignis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Delosperma cooperi";"Delosperma cooperi";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Dichanthelium clandestinum";"Dichanthelium clandestinum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Dichondra argentea";"Dichondra argentea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Dichondra micrantha";"Dichondra micrantha";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Digitaria abyssinica";"Digitaria abyssinica";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Dipsacus strigosus";"Dipsacus strigosus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Dryopteris cycadina";"Dryopteris cycadina";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Dryopteris erythrosora";"Dryopteris erythrosora";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Dysphania anthelmintica";"Dysphania anthelmintica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Echinochloa oryzicola";"Echinochloa oryzoides";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Echinopsis silvestrii";"Echinopsis albispinosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Elaeagnus macrophylla";"Elaeagnus macrophylla";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
