country;species;LifeForm;count;firstRec
Greece;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);3;2021
Italy;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);1;2020
Netherlands;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);1;2019
Portugal;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);22;2011
Spain;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);19;2014
Sea or Ocean;Rhipicephalus sanguineus;Arthropods p.p. (Myriapods, Diplopods etc.);15;2013
Italy;Xylella fastidiosa;Bacteria and protozoans;1;2020
Spain;Xylella fastidiosa;Bacteria and protozoans;2;2021
Aaland Islands;Accipiter gentilis;Birds;2;1995
Albania;Accipiter gentilis;Birds;15;1996
Andorra;Accipiter gentilis;Birds;2;1991
Austria;Accipiter gentilis;Birds;316;1990
Belarus;Accipiter gentilis;Birds;266;1999
Belgium;Accipiter gentilis;Birds;326;1990
Bosnia and Herzegovina;Accipiter gentilis;Birds;15;2001
Bulgaria;Accipiter gentilis;Birds;487;1990
Croatia;Accipiter gentilis;Birds;161;2004
Czech Republic;Accipiter gentilis;Birds;666;1991
Denmark;Accipiter gentilis;Birds;28305;1990
Estonia;Accipiter gentilis;Birds;106;1992
Finland;Accipiter gentilis;Birds;1700;1990
France;Accipiter gentilis;Birds;1104;1990
Germany;Accipiter gentilis;Birds;16104;1990
Greece;Accipiter gentilis;Birds;238;1991
Hungary;Accipiter gentilis;Birds;348;1990
Ireland;Accipiter gentilis;Birds;2;2015
Isle of Man;Accipiter gentilis;Birds;1;2011
Italy;Accipiter gentilis;Birds;475;1993
Latvia;Accipiter gentilis;Birds;201;1993
Liechtenstein;Accipiter gentilis;Birds;1;1999
Lithuania;Accipiter gentilis;Birds;225;2006
Luxembourg;Accipiter gentilis;Birds;61;1996
Montenegro;Accipiter gentilis;Birds;14;1990
Netherlands;Accipiter gentilis;Birds;2271;1990
Norway;Accipiter gentilis;Birds;35862;1990
Poland;Accipiter gentilis;Birds;692;1990
Portugal;Accipiter gentilis;Birds;3930;1990
Republic of Moldova;Accipiter gentilis;Birds;101;2016
Romania;Accipiter gentilis;Birds;111;1991
Serbia;Accipiter gentilis;Birds;378;1992
Slovakia;Accipiter gentilis;Birds;166;1995
Slovenia;Accipiter gentilis;Birds;62;1992
Spain;Accipiter gentilis;Birds;8101;1990
Sweden;Accipiter gentilis;Birds;150316;1990
Switzerland;Accipiter gentilis;Birds;507;1990
The former Yugoslav Republic of Macedonia;Accipiter gentilis;Birds;7;2017
Ukraine;Accipiter gentilis;Birds;514;1990
United Kingdom;Accipiter gentilis;Birds;351;1990
Sea or Ocean;Accipiter gentilis;Birds;97599;1990
Belgium;Acridotheres ginginianus;Birds;4;2009
Germany;Acridotheres ginginianus;Birds;1;2009
Belgium;Agapornis personatus;Birds;4;2016
Denmark;Agapornis personatus;Birds;1;2020
France;Agapornis personatus;Birds;2;2021
Germany;Agapornis personatus;Birds;1;2007
Italy;Agapornis personatus;Birds;2;2015
Netherlands;Agapornis personatus;Birds;1;2009
Portugal;Agapornis personatus;Birds;2;2014
Spain;Agapornis personatus;Birds;5;2018
Sea or Ocean;Agapornis personatus;Birds;4;2019
Belgium;Agapornis roseicollis;Birds;28;2009
France;Agapornis roseicollis;Birds;3;2013
Germany;Agapornis roseicollis;Birds;5;2008
Greece;Agapornis roseicollis;Birds;1;2013
Italy;Agapornis roseicollis;Birds;15;2015
Netherlands;Agapornis roseicollis;Birds;7;2007
Norway;Agapornis roseicollis;Birds;2;2019
Portugal;Agapornis roseicollis;Birds;5;2014
Serbia;Agapornis roseicollis;Birds;5;2016
Spain;Agapornis roseicollis;Birds;30;2003
Sea or Ocean;Agapornis roseicollis;Birds;39;2015
Austria;Aix galericulata;Birds;441;1992
Belarus;Aix galericulata;Birds;7;2014
Belgium;Aix galericulata;Birds;6675;1990
Bulgaria;Aix galericulata;Birds;2;2019
Croatia;Aix galericulata;Birds;124;2005
Czech Republic;Aix galericulata;Birds;373;1997
Denmark;Aix galericulata;Birds;1086;1990
Faroe Islands;Aix galericulata;Birds;1;2012
Finland;Aix galericulata;Birds;82;1992
France;Aix galericulata;Birds;679;1992
Germany;Aix galericulata;Birds;7840;1990
Hungary;Aix galericulata;Birds;6;2017
Iceland;Aix galericulata;Birds;64;2007
Ireland;Aix galericulata;Birds;114;2010
Italy;Aix galericulata;Birds;430;2006
Jersey;Aix galericulata;Birds;1;1990
Latvia;Aix galericulata;Birds;1;2020
Lithuania;Aix galericulata;Birds;6;2015
Luxembourg;Aix galericulata;Birds;3;1998
Netherlands;Aix galericulata;Birds;916;1991
Norway;Aix galericulata;Birds;3385;1990
Poland;Aix galericulata;Birds;436;1990
Portugal;Aix galericulata;Birds;122;2005
Republic of Moldova;Aix galericulata;Birds;19;2016
Romania;Aix galericulata;Birds;2;2011
Serbia;Aix galericulata;Birds;13;2016
Slovakia;Aix galericulata;Birds;21;2014
Slovenia;Aix galericulata;Birds;23;2009
Spain;Aix galericulata;Birds;845;1993
Sweden;Aix galericulata;Birds;7086;1990
Switzerland;Aix galericulata;Birds;457;1990
The former Yugoslav Republic of Macedonia;Aix galericulata;Birds;2;2012
Ukraine;Aix galericulata;Birds;43;2018
United Kingdom;Aix galericulata;Birds;11647;1990
Sea or Ocean;Aix galericulata;Birds;4970;1990
Belgium;Alectoris chukar;Birds;5;2010
Bulgaria;Alectoris chukar;Birds;131;1991
Denmark;Alectoris chukar;Birds;11;2014
France;Alectoris chukar;Birds;4;1997
Germany;Alectoris chukar;Birds;1;2018
Greece;Alectoris chukar;Birds;612;1991
Italy;Alectoris chukar;Birds;5;2017
Netherlands;Alectoris chukar;Birds;1;2008
Norway;Alectoris chukar;Birds;9;1994
Sweden;Alectoris chukar;Birds;67;2002
Ukraine;Alectoris chukar;Birds;6;1992
United Kingdom;Alectoris chukar;Birds;2;2021
Sea or Ocean;Alectoris chukar;Birds;1610;1990
Belgium;Amazona amazonica;Birds;3;2007
Germany;Amazona amazonica;Birds;1;2018
Netherlands;Amazona amazonica;Birds;3;2004
Spain;Amazona amazonica;Birds;1;2018
United Kingdom;Amazona amazonica;Birds;1;2020
Sea or Ocean;Amazona amazonica;Birds;2;2016
Aaland Islands;Anas acuta;Birds;3;2000
Albania;Anas acuta;Birds;15;1996
Austria;Anas acuta;Birds;467;1990
Belarus;Anas acuta;Birds;90;1995
Belgium;Anas acuta;Birds;699;1993
Bosnia and Herzegovina;Anas acuta;Birds;5;2012
Bulgaria;Anas acuta;Birds;324;1990
Croatia;Anas acuta;Birds;95;2005
Czech Republic;Anas acuta;Birds;688;1990
Denmark;Anas acuta;Birds;44769;1990
Estonia;Anas acuta;Birds;56;1997
Faroe Islands;Anas acuta;Birds;6;2015
Finland;Anas acuta;Birds;1464;1990
France;Anas acuta;Birds;3305;1990
Germany;Anas acuta;Birds;9481;1990
Greece;Anas acuta;Birds;1114;1991
Guernsey;Anas acuta;Birds;1;2019
Hungary;Anas acuta;Birds;663;1990
Iceland;Anas acuta;Birds;1840;1990
Ireland;Anas acuta;Birds;407;1991
Isle of Man;Anas acuta;Birds;5;2009
Italy;Anas acuta;Birds;730;1990
Jersey;Anas acuta;Birds;44;1990
Latvia;Anas acuta;Birds;53;1993
Lithuania;Anas acuta;Birds;269;2006
Luxembourg;Anas acuta;Birds;20;2015
Malta;Anas acuta;Birds;1;2012
Montenegro;Anas acuta;Birds;7;2011
Netherlands;Anas acuta;Birds;4173;1990
Norway;Anas acuta;Birds;25632;1990
Poland;Anas acuta;Birds;656;1991
Portugal;Anas acuta;Birds;1962;1990
Republic of Moldova;Anas acuta;Birds;22;2016
Romania;Anas acuta;Birds;69;1994
Serbia;Anas acuta;Birds;252;1994
Slovakia;Anas acuta;Birds;112;2002
Slovenia;Anas acuta;Birds;75;1990
Spain;Anas acuta;Birds;12140;1990
Svalbard;Anas acuta;Birds;2;2018
Sweden;Anas acuta;Birds;106761;1990
Switzerland;Anas acuta;Birds;546;1990
The former Yugoslav Republic of Macedonia;Anas acuta;Birds;15;2008
Ukraine;Anas acuta;Birds;258;1990
United Kingdom;Anas acuta;Birds;16030;1990
Sea or Ocean;Anas acuta;Birds;143866;1990
Austria;Anas bahamensis;Birds;3;2000
Belgium;Anas bahamensis;Birds;412;1991
France;Anas bahamensis;Birds;22;2004
Germany;Anas bahamensis;Birds;73;1995
Ireland;Anas bahamensis;Birds;3;2017
Italy;Anas bahamensis;Birds;3;2018
Netherlands;Anas bahamensis;Birds;28;2004
Norway;Anas bahamensis;Birds;4;2018
Portugal;Anas bahamensis;Birds;5;2018
Slovenia;Anas bahamensis;Birds;2;2016
Spain;Anas bahamensis;Birds;5;2007
Sweden;Anas bahamensis;Birds;7;2017
Switzerland;Anas bahamensis;Birds;13;2014
United Kingdom;Anas bahamensis;Birds;3;2013
Sea or Ocean;Anas bahamensis;Birds;25;2002
Belgium;Anas erythrorhyncha;Birds;3;2015
Czech Republic;Anas erythrorhyncha;Birds;1;2020
Germany;Anas erythrorhyncha;Birds;1;2011
Spain;Anas erythrorhyncha;Birds;1;2017
United Kingdom;Anas erythrorhyncha;Birds;3;2008
Sea or Ocean;Anas erythrorhyncha;Birds;1;2002
Belgium;Anas flavirostris;Birds;10;2003
France;Anas flavirostris;Birds;2;2021
Germany;Anas flavirostris;Birds;3;2014
Netherlands;Anas flavirostris;Birds;4;2007
Sweden;Anas flavirostris;Birds;55;1996
United Kingdom;Anas flavirostris;Birds;2;2019
Sea or Ocean;Anas flavirostris;Birds;12;2000
Austria;Anas formosa;Birds;2;2013
Belgium;Anas formosa;Birds;15;2010
Finland;Anas formosa;Birds;4;1994
Germany;Anas formosa;Birds;22;2012
Hungary;Anas formosa;Birds;1;2017
Netherlands;Anas formosa;Birds;26;1994
Norway;Anas formosa;Birds;23;2012
Poland;Anas formosa;Birds;2;2021
Spain;Anas formosa;Birds;14;2003
Sweden;Anas formosa;Birds;667;1993
Switzerland;Anas formosa;Birds;1;2011
United Kingdom;Anas formosa;Birds;41;2002
Sea or Ocean;Anas formosa;Birds;210;1995
Belgium;Anas hottentota;Birds;34;1998
France;Anas hottentota;Birds;1;2017
Germany;Anas hottentota;Birds;5;2009
Netherlands;Anas hottentota;Birds;5;2005
Spain;Anas hottentota;Birds;1;2003
Netherlands;Anas laysanensis;Birds;1;2006
Belgium;Anas luzonica;Birds;2;2014
Netherlands;Anas luzonica;Birds;1;2005
Belgium;Anas puna;Birds;5;2012
Germany;Anas puna;Birds;2;1998
Netherlands;Anas puna;Birds;2;2016
Belgium;Anas superciliosa;Birds;1;2013
Germany;Anas superciliosa;Birds;1;2014
Aaland Islands;Anser anser;Birds;37;2007
Albania;Anser anser;Birds;8;1996
Austria;Anser anser;Birds;3848;1990
Belarus;Anser anser;Birds;108;1994
Belgium;Anser anser;Birds;3530;1990
Bosnia and Herzegovina;Anser anser;Birds;3;2012
Bulgaria;Anser anser;Birds;177;1990
Croatia;Anser anser;Birds;187;2005
Czech Republic;Anser anser;Birds;5785;1991
Denmark;Anser anser;Birds;319052;1990
Estonia;Anser anser;Birds;239;1994
Faroe Islands;Anser anser;Birds;166;2000
Finland;Anser anser;Birds;2794;1990
France;Anser anser;Birds;5108;1990
Germany;Anser anser;Birds;107261;1990
Greece;Anser anser;Birds;586;1990
Guernsey;Anser anser;Birds;29;2006
Hungary;Anser anser;Birds;3677;1990
Iceland;Anser anser;Birds;16191;1990
Ireland;Anser anser;Birds;869;1990
Isle of Man;Anser anser;Birds;122;2011
Italy;Anser anser;Birds;1558;1992
Jersey;Anser anser;Birds;19;1990
Latvia;Anser anser;Birds;87;1993
Lithuania;Anser anser;Birds;699;2004
Luxembourg;Anser anser;Birds;171;2002
Montenegro;Anser anser;Birds;4;2017
Netherlands;Anser anser;Birds;42974;1990
Norway;Anser anser;Birds;139061;1990
Poland;Anser anser;Birds;3546;1990
Portugal;Anser anser;Birds;2504;1990
Republic of Moldova;Anser anser;Birds;117;2013
Romania;Anser anser;Birds;589;1993
Serbia;Anser anser;Birds;484;1998
Slovakia;Anser anser;Birds;418;1994
Slovenia;Anser anser;Birds;224;1990
Spain;Anser anser;Birds;18855;1990
Svalbard;Anser anser;Birds;2;2011
Sweden;Anser anser;Birds;546523;1990
Switzerland;Anser anser;Birds;2316;1991
The former Yugoslav Republic of Macedonia;Anser anser;Birds;1;2006
Ukraine;Anser anser;Birds;631;1990
United Kingdom;Anser anser;Birds;88044;1990
Sea or Ocean;Anser anser;Birds;544340;1990
Aaland Islands;Aythya ferina;Birds;2;2013
Albania;Aythya ferina;Birds;37;1996
Austria;Aythya ferina;Birds;1659;1991
Belarus;Aythya ferina;Birds;346;2002
Belgium;Aythya ferina;Birds;2118;1990
Bosnia and Herzegovina;Aythya ferina;Birds;24;2011
Bulgaria;Aythya ferina;Birds;920;1990
Croatia;Aythya ferina;Birds;466;1990
Czech Republic;Aythya ferina;Birds;4491;1990
Denmark;Aythya ferina;Birds;82623;1990
Estonia;Aythya ferina;Birds;111;1992
Faroe Islands;Aythya ferina;Birds;2;2018
Finland;Aythya ferina;Birds;1019;1990
France;Aythya ferina;Birds;9150;1990
Germany;Aythya ferina;Birds;45219;1990
Greece;Aythya ferina;Birds;1182;1991
Guernsey;Aythya ferina;Birds;2;2015
Hungary;Aythya ferina;Birds;1723;1990
Iceland;Aythya ferina;Birds;138;1990
Ireland;Aythya ferina;Birds;308;1991
Isle of Man;Aythya ferina;Birds;3;2007
Italy;Aythya ferina;Birds;2007;1992
Jersey;Aythya ferina;Birds;129;1990
Latvia;Aythya ferina;Birds;99;1998
Lithuania;Aythya ferina;Birds;258;2003
Luxembourg;Aythya ferina;Birds;149;1998
Montenegro;Aythya ferina;Birds;23;1996
Netherlands;Aythya ferina;Birds;10527;1990
Norway;Aythya ferina;Birds;12054;1990
Poland;Aythya ferina;Birds;2074;1990
Portugal;Aythya ferina;Birds;1826;1990
Republic of Moldova;Aythya ferina;Birds;118;2013
Romania;Aythya ferina;Birds;664;1994
Serbia;Aythya ferina;Birds;1851;1994
Slovakia;Aythya ferina;Birds;393;1991
Slovenia;Aythya ferina;Birds;369;1990
Spain;Aythya ferina;Birds;35538;1990
Sweden;Aythya ferina;Birds;135323;1990
Switzerland;Aythya ferina;Birds;3733;1990
The former Yugoslav Republic of Macedonia;Aythya ferina;Birds;85;2008
Ukraine;Aythya ferina;Birds;943;1990
United Kingdom;Aythya ferina;Birds;46222;1990
Sea or Ocean;Aythya ferina;Birds;117083;1990
Aaland Islands;Branta canadensis;Birds;31;2007
Austria;Branta canadensis;Birds;110;1992
Belarus;Branta canadensis;Birds;17;2014
Belgium;Branta canadensis;Birds;140587;1990
Croatia;Branta canadensis;Birds;1;2016
Czech Republic;Branta canadensis;Birds;69;2009
Denmark;Branta canadensis;Birds;43788;1990
Estonia;Branta canadensis;Birds;2;2020
Faroe Islands;Branta canadensis;Birds;9;2015
Finland;Branta canadensis;Birds;4359;1990
France;Branta canadensis;Birds;6630;1991
Germany;Branta canadensis;Birds;16107;1990
Greece;Branta canadensis;Birds;1;2019
Guernsey;Branta canadensis;Birds;1;2018
Hungary;Branta canadensis;Birds;5;2013
Iceland;Branta canadensis;Birds;106;2004
Ireland;Branta canadensis;Birds;202;1993
Isle of Man;Branta canadensis;Birds;10;2004
Italy;Branta canadensis;Birds;145;2009
Jersey;Branta canadensis;Birds;2;2014
Latvia;Branta canadensis;Birds;18;2014
Lithuania;Branta canadensis;Birds;35;2011
Luxembourg;Branta canadensis;Birds;385;1998
Netherlands;Branta canadensis;Birds;20771;1990
Norway;Branta canadensis;Birds;99020;1990
Poland;Branta canadensis;Birds;110;1994
Portugal;Branta canadensis;Birds;13;2006
Romania;Branta canadensis;Birds;4;2017
Serbia;Branta canadensis;Birds;10;2016
Slovakia;Branta canadensis;Birds;11;2010
Slovenia;Branta canadensis;Birds;2;2020
Spain;Branta canadensis;Birds;265;1993
Sweden;Branta canadensis;Birds;447707;1990
Switzerland;Branta canadensis;Birds;39;1997
Ukraine;Branta canadensis;Birds;2;2020
United Kingdom;Branta canadensis;Birds;124699;1990
Sea or Ocean;Branta canadensis;Birds;183487;1990
Austria;Bucephala albeola;Birds;1;2013
Belgium;Bucephala albeola;Birds;30;1990
Czech Republic;Bucephala albeola;Birds;3;2003
Denmark;Bucephala albeola;Birds;96;1995
France;Bucephala albeola;Birds;5;2010
Germany;Bucephala albeola;Birds;19;2006
Iceland;Bucephala albeola;Birds;3;2016
Ireland;Bucephala albeola;Birds;10;2007
Italy;Bucephala albeola;Birds;12;2019
Netherlands;Bucephala albeola;Birds;1188;1990
Norway;Bucephala albeola;Birds;72;2009
Spain;Bucephala albeola;Birds;37;1997
Sweden;Bucephala albeola;Birds;105;2002
United Kingdom;Bucephala albeola;Birds;97;1994
Sea or Ocean;Bucephala albeola;Birds;246;1992
Belgium;Bucorvus leadbeateri;Birds;6;2010
Netherlands;Bucorvus leadbeateri;Birds;2;2007
Germany;Cacatua sulphurea;Birds;1;2019
Belgium;Caracara plancus;Birds;4;2001
Netherlands;Caracara plancus;Birds;1;2011
Sweden;Caracara plancus;Birds;5;2010
Sea or Ocean;Caracara plancus;Birds;40;2011
Austria;Chenonetta jubata;Birds;3;2011
Belgium;Chenonetta jubata;Birds;285;1994
Czech Republic;Chenonetta jubata;Birds;1;2021
France;Chenonetta jubata;Birds;8;2008
Germany;Chenonetta jubata;Birds;70;2005
Italy;Chenonetta jubata;Birds;2;2021
Luxembourg;Chenonetta jubata;Birds;1;2016
Netherlands;Chenonetta jubata;Birds;64;1994
Sweden;Chenonetta jubata;Birds;2;2015
United Kingdom;Chenonetta jubata;Birds;6;2018
Sea or Ocean;Chenonetta jubata;Birds;8;2003
Finland;Ciconia abdimii;Birds;1;2007
France;Ciconia abdimii;Birds;3;2020
Netherlands;Ciconia abdimii;Birds;2;2008
Belgium;Colinus virginianus;Birds;2;2011
Croatia;Colinus virginianus;Birds;8;2015
Italy;Colinus virginianus;Birds;21;2004
Malta;Colinus virginianus;Birds;1;2016
Slovenia;Colinus virginianus;Birds;11;2018
Sea or Ocean;Colinus virginianus;Birds;3;2014
Aaland Islands;Columba livia;Birds;2;2019
Albania;Columba livia;Birds;157;1996
Andorra;Columba livia;Birds;17;1994
Austria;Columba livia;Birds;4398;1991
Belarus;Columba livia;Birds;2370;1998
Belgium;Columba livia;Birds;3789;1990
Bosnia and Herzegovina;Columba livia;Birds;368;1996
Bulgaria;Columba livia;Birds;3447;1990
Croatia;Columba livia;Birds;4761;1991
Czech Republic;Columba livia;Birds;10668;1990
Denmark;Columba livia;Birds;12335;1990
Estonia;Columba livia;Birds;514;1992
Faroe Islands;Columba livia;Birds;202;2000
Finland;Columba livia;Birds;5528;1990
France;Columba livia;Birds;21384;1990
Germany;Columba livia;Birds;18857;1990
Greece;Columba livia;Birds;5699;1990
Guernsey;Columba livia;Birds;26;2012
Hungary;Columba livia;Birds;3160;1990
Iceland;Columba livia;Birds;1366;1992
Ireland;Columba livia;Birds;6661;1991
Isle of Man;Columba livia;Birds;346;2010
Italy;Columba livia;Birds;14970;1990
Jersey;Columba livia;Birds;20;1990
Latvia;Columba livia;Birds;597;1992
Liechtenstein;Columba livia;Birds;43;1996
Lithuania;Columba livia;Birds;1592;1999
Luxembourg;Columba livia;Birds;342;1992
Malta;Columba livia;Birds;69;1998
Montenegro;Columba livia;Birds;271;2003
Netherlands;Columba livia;Birds;5186;1990
Norway;Columba livia;Birds;21690;1990
Poland;Columba livia;Birds;4689;1990
Portugal;Columba livia;Birds;50633;1990
Republic of Moldova;Columba livia;Birds;375;2006
Romania;Columba livia;Birds;1914;1994
San Marino;Columba livia;Birds;1;2019
Serbia;Columba livia;Birds;22733;1994
Slovakia;Columba livia;Birds;488;1990
Slovenia;Columba livia;Birds;1282;1991
Spain;Columba livia;Birds;142897;1990
Sweden;Columba livia;Birds;5591;1990
Switzerland;Columba livia;Birds;5201;1992
The former Yugoslav Republic of Macedonia;Columba livia;Birds;1120;1991
Ukraine;Columba livia;Birds;6368;1990
United Kingdom;Columba livia;Birds;122954;1990
Sea or Ocean;Columba livia;Birds;146125;1990
Belgium;Corvus albus;Birds;3;2008
Czech Republic;Corvus albus;Birds;3;2019
Germany;Corvus albus;Birds;5;1995
Netherlands;Corvus albus;Birds;2;1999
Portugal;Corvus albus;Birds;19;2015
Spain;Corvus albus;Birds;2;2009
United Kingdom;Corvus albus;Birds;3;2019
Sea or Ocean;Corvus albus;Birds;68;1998
Belgium;Crinifer zonurus;Birds;1;2017
Denmark;Cyanopica cooki;Birds;2;2000
France;Cyanopica cooki;Birds;2;1991
Portugal;Cyanopica cooki;Birds;29922;1990
Spain;Cyanopica cooki;Birds;39686;1990
Sea or Ocean;Cyanopica cooki;Birds;9752;1990
Belgium;Cyanoramphus novaezelandiae;Birds;5;2005
Czech Republic;Cyanoramphus novaezelandiae;Birds;2;2017
France;Cyanoramphus novaezelandiae;Birds;1;2013
Netherlands;Cyanoramphus novaezelandiae;Birds;1;2009
United Kingdom;Cyanoramphus novaezelandiae;Birds;1;2020
Aaland Islands;Cygnus cygnus;Birds;44;1995
Austria;Cygnus cygnus;Birds;188;1990
Belarus;Cygnus cygnus;Birds;257;2004
Belgium;Cygnus cygnus;Birds;71;1993
Bulgaria;Cygnus cygnus;Birds;201;1990
Croatia;Cygnus cygnus;Birds;5;2013
Czech Republic;Cygnus cygnus;Birds;187;1996
Denmark;Cygnus cygnus;Birds;166218;1990
Estonia;Cygnus cygnus;Birds;292;1992
Faroe Islands;Cygnus cygnus;Birds;76;2000
Finland;Cygnus cygnus;Birds;10155;1990
France;Cygnus cygnus;Birds;299;1990
Germany;Cygnus cygnus;Birds;8540;1990
Greece;Cygnus cygnus;Birds;194;1996
Guernsey;Cygnus cygnus;Birds;3;2017
Hungary;Cygnus cygnus;Birds;31;1994
Iceland;Cygnus cygnus;Birds;13958;1990
Ireland;Cygnus cygnus;Birds;861;1990
Isle of Man;Cygnus cygnus;Birds;19;2003
Italy;Cygnus cygnus;Birds;37;2000
Jersey;Cygnus cygnus;Birds;2;2020
Latvia;Cygnus cygnus;Birds;247;1993
Lithuania;Cygnus cygnus;Birds;845;2004
Luxembourg;Cygnus cygnus;Birds;2;2010
Netherlands;Cygnus cygnus;Birds;1716;1990
Norway;Cygnus cygnus;Birds;129169;1990
Poland;Cygnus cygnus;Birds;939;1995
Portugal;Cygnus cygnus;Birds;9;2016
Republic of Moldova;Cygnus cygnus;Birds;61;2016
Romania;Cygnus cygnus;Birds;74;1994
Serbia;Cygnus cygnus;Birds;17;2006
Slovakia;Cygnus cygnus;Birds;120;2007
Slovenia;Cygnus cygnus;Birds;1;2017
Spain;Cygnus cygnus;Birds;269;1990
Sweden;Cygnus cygnus;Birds;649889;1990
Switzerland;Cygnus cygnus;Birds;282;1997
Ukraine;Cygnus cygnus;Birds;220;1990
United Kingdom;Cygnus cygnus;Birds;9922;1990
Sea or Ocean;Cygnus cygnus;Birds;253480;1990
Belgium;Cygnus melancoryphus;Birds;11;2008
Denmark;Cygnus melancoryphus;Birds;12;2020
France;Cygnus melancoryphus;Birds;6;2003
Germany;Cygnus melancoryphus;Birds;6;2008
Italy;Cygnus melancoryphus;Birds;3;2020
Netherlands;Cygnus melancoryphus;Birds;22;2005
Poland;Cygnus melancoryphus;Birds;2;2021
Portugal;Cygnus melancoryphus;Birds;1;2006
Spain;Cygnus melancoryphus;Birds;2;2015
United Kingdom;Cygnus melancoryphus;Birds;4;2010
Sea or Ocean;Cygnus melancoryphus;Birds;10;2008
Aaland Islands;Cygnus olor;Birds;64;2002
Albania;Cygnus olor;Birds;40;2012
Austria;Cygnus olor;Birds;5293;1990
Belarus;Cygnus olor;Birds;1432;1991
Belgium;Cygnus olor;Birds;3458;1990
Bosnia and Herzegovina;Cygnus olor;Birds;55;2013
Bulgaria;Cygnus olor;Birds;1143;1990
Croatia;Cygnus olor;Birds;2374;1990
Czech Republic;Cygnus olor;Birds;11057;1990
Denmark;Cygnus olor;Birds;269506;1990
Estonia;Cygnus olor;Birds;629;1992
Finland;Cygnus olor;Birds;5024;1990
France;Cygnus olor;Birds;21139;1990
Germany;Cygnus olor;Birds;110474;1990
Greece;Cygnus olor;Birds;1618;1991
Hungary;Cygnus olor;Birds;2586;1990
Iceland;Cygnus olor;Birds;55;1996
Ireland;Cygnus olor;Birds;6714;1991
Isle of Man;Cygnus olor;Birds;318;1996
Italy;Cygnus olor;Birds;3342;1990
Jersey;Cygnus olor;Birds;8;1990
Latvia;Cygnus olor;Birds;598;1993
Liechtenstein;Cygnus olor;Birds;6;1990
Lithuania;Cygnus olor;Birds;1756;1992
