"species";"Region";"LifeForm";"off_FirstRec";"count";"firstRec";"phylum";"class";"timeLag";"eu_status";"google";"scopus";"EASIN_Id";"Status";"TER";"FRW";"MAR";"EST";"habitat";"worst_100_world_ISSG";"worst_100_Europe_DAISIE";"mentioned_in_EU_quarantine_species";"partly_native";"obsEffort_LF";"ResearchEffort";"nOccTotSp";"obsInNeigborCountryBefore";"google_country_porc";"google_country_tot"
"Abies grandis";"Sea";"Vascular plants";NA;80;1995;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;829;FALSE;NA;NA
"Abies grandis";"Sweden";"Vascular plants";NA;363;1991;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;25;829;NA;0;0
"Abies grandis";"United Kingdom";"Vascular plants";NA;5;2020;"Tracheophyta";"Pinopsida";NA;"NO";2708;5513;"R00011";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";729813;99;829;FALSE;51;1381.08
"Abies homolepis";"Belgium";"Vascular plants";2016;2;2019;"Tracheophyta";"Pinopsida";3;"NO";1654;150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;483;63;TRUE;0;0
"Abies homolepis";"Germany";"Vascular plants";NA;3;2010;"Tracheophyta";"Pinopsida";NA;"NO";1654;150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;48;63;NA;0;0
"Abies homolepis";"Sea";"Vascular plants";NA;10;2015;"Tracheophyta";"Pinopsida";NA;"NO";1654;150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;63;FALSE;NA;NA
"Abies homolepis";"Sweden";"Vascular plants";NA;48;2002;"Tracheophyta";"Pinopsida";NA;"NO";1654;150;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;25;63;FALSE;0;0
"Abies nordmanniana";"Austria";"Vascular plants";NA;1;2020;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";405467;37;516;NA;0;0
"Abies nordmanniana";"Belgium";"Vascular plants";2016;16;2009;"Tracheophyta";"Pinopsida";-7;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1132699;483;516;TRUE;53;1750.59
"Abies nordmanniana";"Czech Republic";"Vascular plants";NA;4;2018;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";391053;25;516;NA;89;2939.67
"Abies nordmanniana";"Denmark";"Vascular plants";NA;12;2019;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";63407;15;516;NA;40;1321.2
"Abies nordmanniana";"France";"Vascular plants";NA;3;2018;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";3156527;142;516;NA;15;495.45
"Abies nordmanniana";"Germany";"Vascular plants";NA;56;2009;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2829627;48;516;NA;18;594.54
"Abies nordmanniana";"Italy";"Vascular plants";NA;2;2020;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";967299;161;516;NA;29;957.87
"Abies nordmanniana";"Netherlands";"Vascular plants";NA;14;1996;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";4472543;29;516;NA;34;1123.02
"Abies nordmanniana";"Norway";"Vascular plants";NA;39;2009;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1755502;75;516;NA;0;0
"Abies nordmanniana";"Poland";"Vascular plants";NA;1;2020;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";147169;16;516;NA;23;759.69
"Abies nordmanniana";"Sea";"Vascular plants";NA;107;1990;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";4202690;NA;516;FALSE;NA;NA
"Abies nordmanniana";"Spain";"Vascular plants";NA;2;2013;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";713438;113;516;NA;23;759.69
"Abies nordmanniana";"Sweden";"Vascular plants";NA;255;1993;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";7997425;25;516;NA;30;990.9
"Abies nordmanniana";"United Kingdom";"Vascular plants";NA;4;2015;"Tracheophyta";"Pinopsida";NA;"NO";3303;1053;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";729813;99;516;NA;15;495.45
"Abies veitchii";"Germany";"Vascular plants";NA;4;2017;"Tracheophyta";"Pinopsida";NA;"NO";1928;523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;48;56;FALSE;0;0
"Abies veitchii";"Norway";"Vascular plants";2012;4;2017;"Tracheophyta";"Pinopsida";5;"NO";1928;523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;75;56;TRUE;0;0
"Abies veitchii";"Sea";"Vascular plants";NA;4;2017;"Tracheophyta";"Pinopsida";NA;"NO";1928;523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;56;FALSE;NA;NA
"Abies veitchii";"Sweden";"Vascular plants";NA;44;2002;"Tracheophyta";"Pinopsida";NA;"NO";1928;523;"R00017";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;25;56;NA;0;0
"Abudefduf sexfasciatus";"Greece";"Fishes";2017;NA;NA;"Chordata";"Actinopterygii";NA;"NO";0;72;"R19652";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";808;142;NA;FALSE;0;0
"Abudefduf sexfasciatus";"Sea";"Fishes";NA;1;2017;"Chordata";"Actinopterygii";NA;"NO";0;72;"R19652";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";108334;NA;NA;FALSE;NA;NA
"Abutilon grandifolium";"Italy";"Vascular plants";NA;1;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";1695;8;"R00030";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";967299;161;NA;NA;0;0
"Abutilon grandifolium";"Portugal";"Vascular plants";2010;NA;NA;"Tracheophyta";"Magnoliopsida";NA;"NO";1695;8;"R00030";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;81;NA;FALSE;0;0
"Abutilon grandifolium";"Sea";"Vascular plants";NA;1;2021;"Tracheophyta";"Magnoliopsida";NA;"NO";1695;8;"R00030";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;NA;FALSE;NA;NA
"Acacia baileyana";"France";"Vascular plants";2011;1;2021;"Tracheophyta";"Magnoliopsida";10;"NO";6078;160;"R00035";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";3156527;142;3;FALSE;3;182.34
"Acacia baileyana";"Portugal";"Vascular plants";NA;1;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";6078;160;"R00035";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;81;3;FALSE;0;0
"Acacia baileyana";"Sea";"Vascular plants";NA;1;2019;"Tracheophyta";"Magnoliopsida";NA;"NO";6078;160;"R00035";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;3;FALSE;NA;NA
"Acacia salicina";"Portugal";"Vascular plants";NA;1;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";1901;659;"R00052";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;81;NA;NA;0;0
"Acacia salicina";"Sea";"Vascular plants";NA;3;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";1901;659;"R00052";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;NA;FALSE;NA;NA
"Acacia salicina";"Spain";"Vascular plants";2018;NA;NA;"Tracheophyta";"Magnoliopsida";NA;"NO";1901;659;"R00052";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";713438;113;NA;TRUE;0;0
"Acanalonia conica";"Austria";"Insects";NA;14;2020;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";122100;37;NA;NA;0;0
"Acanalonia conica";"Czech Republic";"Insects";NA;1;2020;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";47792;25;NA;NA;0;0
"Acanalonia conica";"France";"Insects";NA;2;2020;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";514135;142;NA;NA;0;0
"Acanalonia conica";"Italy";"Insects";NA;216;2010;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";205611;161;NA;NA;100;882
"Acanalonia conica";"Sea";"Insects";NA;4;2017;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4284682;NA;NA;FALSE;NA;NA
"Acanalonia conica";"Serbia";"Insects";2019;NA;NA;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";11129;38;NA;FALSE;0;0
"Acanalonia conica";"Slovenia";"Insects";2017;NA;NA;"Arthropoda";"Insecta";NA;"NO";882;20;"R00068";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";20810;46;NA;TRUE;0;0
"Acanthurus chirurgus";"Italy";"Fishes";2012;NA;NA;"Chordata";"Actinopterygii";NA;"NO";1163;60;"R19333";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";3303;161;NA;FALSE;0;0
"Acanthurus coeruleus";"Cyprus";"Fishes";2011;NA;NA;"Chordata";"Actinopterygii";NA;"NO";2646;158;"R19118";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";0;107;NA;FALSE;0;0
"Acanthurus monroviae";"Greece";"Fishes";2015;NA;NA;"Chordata";"Actinopterygii";NA;"NO";0;124;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"NO";808;142;NA;FALSE;0;0
"Acanthurus monroviae";"Sea";"Fishes";NA;1;2017;"Chordata";"Actinopterygii";NA;"NO";0;124;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"NO";108334;NA;NA;FALSE;NA;NA
"Acanthurus sohal";"Greece";"Fishes";2017;NA;NA;"Chordata";"Actinopterygii";NA;"NO";2361;208;"R19653";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";808;142;NA;FALSE;0;0
"Acanthurus sohal";"Sea";"Fishes";NA;2;2017;"Chordata";"Actinopterygii";NA;"NO";2361;208;"R19653";"A";0;0;1;0;"Marine";"NO";"NO";"NO";"NO";108334;NA;NA;FALSE;NA;NA
"Acanthus spinosus";"Albania";"Vascular plants";NA;4;2017;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";2476;54;289;NA;0;0
"Acanthus spinosus";"Belgium";"Vascular plants";2016;7;2015;"Tracheophyta";"Magnoliopsida";-1;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";1132699;483;289;FALSE;0;0
"Acanthus spinosus";"Denmark";"Vascular plants";NA;1;2021;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";63407;15;289;NA;0;0
"Acanthus spinosus";"Germany";"Vascular plants";NA;5;2017;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";2829627;48;289;NA;15;724.05
"Acanthus spinosus";"Greece";"Vascular plants";NA;110;1992;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";46853;142;289;NA;0;0
"Acanthus spinosus";"Italy";"Vascular plants";NA;14;2017;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";967299;161;289;NA;15;724.05
"Acanthus spinosus";"Macedonia";"Vascular plants";NA;1;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";2784;2;289;NA;0;0
"Acanthus spinosus";"Montenegro";"Vascular plants";NA;2;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";5319;2;289;NA;0;0
"Acanthus spinosus";"Sea";"Vascular plants";NA;92;1995;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";4202690;NA;289;FALSE;NA;NA
"Acanthus spinosus";"United Kingdom";"Vascular plants";NA;53;2007;"Tracheophyta";"Magnoliopsida";NA;"NO";4827;57;NA;NA;0;0;1;0;"Marine";"NO";"NO";"NO";"YES";729813;99;289;FALSE;100;4827
"Accipiter gentilis";"Albania";"Birds";NA;15;1996;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";9437;54;352106;NA;0;0
"Accipiter gentilis";"Andorra";"Birds";NA;2;1991;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1288;1;352106;NA;0;0
"Accipiter gentilis";"Austria";"Birds";NA;316;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";384808;37;352106;NA;0;0
"Accipiter gentilis";"Belarus";"Birds";NA;266;1999;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";100770;1;352106;NA;0;0
"Accipiter gentilis";"Belgium";"Birds";NA;326;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";788948;483;352106;NA;35;1481.9
"Accipiter gentilis";"Bosnia and Herzegovina";"Birds";NA;15;2001;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";12676;14;352106;NA;0;0
"Accipiter gentilis";"Bulgaria";"Birds";NA;487;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";249237;7;352106;NA;0;0
"Accipiter gentilis";"Croatia";"Birds";NA;161;2004;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";159134;19;352106;NA;0;0
"Accipiter gentilis";"Czech Republic";"Birds";NA;666;1991;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";725131;25;352106;NA;0;0
"Accipiter gentilis";"Denmark";"Birds";NA;28305;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";14701881;15;352106;NA;76;3217.84
"Accipiter gentilis";"Estonia";"Birds";NA;106;1992;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";50487;5;352106;NA;0;0
"Accipiter gentilis";"Finland";"Birds";NA;1700;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";603277;1;352106;NA;38;1608.92
"Accipiter gentilis";"France";"Birds";NA;1104;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1858205;142;352106;NA;0;0
"Accipiter gentilis";"Germany";"Birds";NA;16104;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";7836388;48;352106;NA;15;635.1
"Accipiter gentilis";"Greece";"Birds";NA;238;1991;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";452825;142;352106;NA;0;0
"Accipiter gentilis";"Hungary";"Birds";NA;348;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";336853;17;352106;NA;0;0
"Accipiter gentilis";"Ireland";"Birds";NA;2;2015;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";395298;13;352106;NA;0;0
"Accipiter gentilis";"Italy";"Birds";NA;475;1993;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";590026;161;352106;NA;23;973.82
"Accipiter gentilis";"Latvia";"Birds";NA;201;1993;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";40687;6;352106;NA;0;0
"Accipiter gentilis";"Liechtenstein";"Birds";NA;1;1999;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1839;1;352106;NA;0;0
"Accipiter gentilis";"Lithuania";"Birds";NA;225;2006;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";102109;4;352106;NA;0;0
"Accipiter gentilis";"Luxembourg";"Birds";NA;61;1996;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";31830;1;352106;NA;0;0
"Accipiter gentilis";"Macedonia";"Birds";NA;7;2017;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";38613;2;352106;NA;0;0
"Accipiter gentilis";"Moldova";"Birds";NA;101;2016;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";40544;1;352106;NA;0;0
"Accipiter gentilis";"Montenegro";"Birds";NA;14;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";12459;2;352106;NA;0;0
"Accipiter gentilis";"Netherlands";"Birds";NA;2271;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2058938;29;352106;NA;34;1439.56
"Accipiter gentilis";"Norway";"Birds";NA;35862;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";12396174;75;352106;NA;0;0
"Accipiter gentilis";"Poland";"Birds";NA;692;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";409372;16;352106;NA;0;0
"Accipiter gentilis";"Portugal";"Birds";NA;3930;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";4044501;81;352106;NA;0;0
"Accipiter gentilis";"Romania";"Birds";NA;111;1991;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";119027;3;352106;NA;0;0
"Accipiter gentilis";"Sea";"Birds";NA;97599;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";44080236;NA;352106;FALSE;NA;NA
"Accipiter gentilis";"Serbia";"Birds";NA;378;1992;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";430864;38;352106;NA;30;1270.2
"Accipiter gentilis";"Slovakia";"Birds";NA;166;1995;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";79051;19;352106;NA;0;0
"Accipiter gentilis";"Slovenia";"Birds";NA;62;1992;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";78261;46;352106;NA;0;0
"Accipiter gentilis";"Spain";"Birds";NA;8101;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";10201950;113;352106;NA;100;4234
"Accipiter gentilis";"Sweden";"Birds";NA;150316;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";38556181;25;352106;NA;20;846.8
"Accipiter gentilis";"Switzerland";"Birds";NA;507;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";555029;11;352106;NA;0;0
"Accipiter gentilis";"Ukraine";"Birds";NA;514;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";287041;6;352106;NA;0;0
"Accipiter gentilis";"United Kingdom";"Birds";NA;351;1990;"Chordata";"Aves";NA;"NO";4234;2448;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";9941295;99;352106;NA;13;550.42
"Acer cissifolium";"Belgium";"Vascular plants";2014;6;2014;"Tracheophyta";"Magnoliopsida";0;"NO";818;16;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;483;7;TRUE;0;0
"Acer cissifolium";"Germany";"Vascular plants";NA;1;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";818;16;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;48;7;NA;0;0
"Acer japonicum";"Belgium";"Vascular plants";2010;4;2012;"Tracheophyta";"Magnoliopsida";2;"NO";6744;439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;483;18;FALSE;100;6744
"Acer japonicum";"Germany";"Vascular plants";NA;7;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";6744;439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;48;18;NA;25;1686
"Acer japonicum";"Norway";"Vascular plants";NA;3;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";6744;439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;75;18;NA;0;0
"Acer japonicum";"Sea";"Vascular plants";NA;3;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";6744;439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4202690;NA;18;FALSE;NA;NA
"Acer japonicum";"Sweden";"Vascular plants";NA;1;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";6744;439;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;25;18;NA;0;0
"Acer monspessulanum";"Albania";"Vascular plants";NA;2;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";3240;82;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2476;54;4723;NA;0;0
"Acer monspessulanum";"Austria";"Vascular plants";NA;25;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";3240;82;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";405467;37;4723;NA;0;0
"Acer monspessulanum";"Belgium";"Vascular plants";2015;7;2015;"Tracheophyta";"Magnoliopsida";0;"NO";3240;82;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1132699;483;4723;TRUE;0;0
"Acer monspessulanum";"Bosnia and Herzegovina";"Vascular plants";NA;12;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";3240;82;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";9027;14;4723;NA;0;0
