"species";"LifeForm";"Region";"off_FirstRec"
"Nettapus coromandelianus";"Birds";"Belgium";2017
"Oriolus auratus";"Birds";"Belgium";2017
"Oxyura vittata";"Birds";"Belgium";2014
"Pelecanus conspicillatus";"Birds";"Belgium";2017
"Platycercus adscitus";"Birds";"Belgium";2012
"Platycercus icterotis";"Birds";"Belgium";2015
"Polytelis anthopeplus";"Birds";"Belgium";2018
"Polytelis swainsonii";"Birds";"Belgium";2017
"Psittacula alexandri";"Birds";"Belgium";2014
"Psittacula derbiana";"Birds";"Belgium";2016
"Pycnonotus barbatus";"Birds";"Belgium";2016
"Pycnonotus leucotis";"Birds";"Belgium";2013
"Pyrrhura perlata";"Birds";"Belgium";2017
"Quiscalus quiscula";"Birds";"Belgium";2012
"Spatula puna";"Birds";"Belgium";2012
"Spizaetus melanoleucus";"Birds";"Belgium";2017
"Trichoglossus haematodus";"Birds";"Belgium";2015
"Urocissa erythroryncha";"Birds";"Belgium";2017
"Zonotrichia capensis";"Birds";"Belgium";2018
"Balanus glandula";"Crustaceans";"Belgium";2015
"Grandidierella japonica";"Crustaceans";"Belgium";2019
"Nagurus cristatus";"Crustaceans";"Belgium";2015
"Neomysis americana";"Crustaceans";"Belgium";2012
"Penaeus aztecus";"Crustaceans";"Belgium";2018
"Reductoniscus costulatus";"Crustaceans";"Belgium";2015
"Batrachochytrium dendrobatidis";"Fungi";"Belgium";2018
"Batrachochytrium salamandrivorans";"Fungi";"Belgium";2013
"Cryptostroma corticale";"Fungi";"Belgium";2018
"Favolaschia calocera";"Fungi";"Belgium";2018
"Hymenoscyphus fraxineus";"Fungi";"Belgium";2010
"Lentinula edodes";"Fungi";"Belgium";2018
"Sirococcus tsugae";"Fungi";"Belgium";2018
"Stropharia aurantiaca";"Fungi";"Belgium";2018
"Thecaphora oxalidis";"Fungi";"Belgium";2014
"Volvariella volvacea";"Fungi";"Belgium";2018
"Acheta domesticus";"Insects";"Belgium";2018
"Aleurodothrips fasciapennis";"Insects";"Belgium";2018
"Anacridium aegyptium";"Insects";"Belgium";2010
"Anopheles pharoensis";"Insects";"Belgium";2017
"Aproceros leucopoda";"Insects";"Belgium";2013
"Aurantothrips orchidaceus";"Insects";"Belgium";2018
"Badonnelia titei";"Insects";"Belgium";2018
"Callopistria floridensis";"Insects";"Belgium";2016
"Callopistromyia annulipes";"Insects";"Belgium";2014
"Cameraria gaultheriella";"Insects";"Belgium";2018
"Carpophilus obsoletus";"Insects";"Belgium";2018
"Cerobasis annulata";"Insects";"Belgium";2018
"Chaetanaphothrips orchidii";"Insects";"Belgium";2018
"Chrysolina americana";"Insects";"Belgium";2018
"Coccinella miranda";"Insects";"Belgium";2013
"Contarinia pseudotsugae";"Insects";"Belgium";2015
"Cryptolaemus montrouzieri";"Insects";"Belgium";2018
"Ctenolepisma lineata";"Insects";"Belgium";2018
"Ctenolepisma longicaudatum";"Insects";"Belgium";2018
"Cydalima perspectalis";"Insects";"Belgium";2010
"Dorypteryx domestica";"Insects";"Belgium";2018
"Dorypteryx longipennis";"Insects";"Belgium";2018
"Dorypteryx pallida";"Insects";"Belgium";2018
"Drosophila suzukii";"Insects";"Belgium";2011
"Echinothrips americanus";"Insects";"Belgium";2018
"Ectopsocus briggsi";"Insects";"Belgium";2018
"Ectopsocus petersi";"Insects";"Belgium";2018
"Epuraea imperialis";"Insects";"Belgium";2012
"Euborellia annulipes";"Insects";"Belgium";2016
"Eumodicogryllus bordigalensis";"Insects";"Belgium";2018
"Eupholidoptera chabrieri";"Insects";"Belgium";2019
"Frankliniella occidentalis";"Insects";"Belgium";2018
"Graphocephala fennahi";"Insects";"Belgium";2018
"Gryllodes sigillatus";"Insects";"Belgium";2018
"Gryllomorpha dalmatina";"Insects";"Belgium";2018
"Gryllus bimaculatus";"Insects";"Belgium";2018
"Halyomorpha halys";"Insects";"Belgium";2017
"Heliothrips haemorrhoidalis";"Insects";"Belgium";2018
"Hercinothrips bicinctus";"Insects";"Belgium";2018
"Hercinothrips femoralis";"Insects";"Belgium";2018
"Hippodamia convergens";"Insects";"Belgium";2018
"Ischnura senegalensis";"Insects";"Belgium";2013
"Lepinotus patruelis";"Insects";"Belgium";2018
"Lepinotus reticulatus";"Insects";"Belgium";2018
"Lepisma saccharinum";"Insects";"Belgium";2018
"Leptinotarsa decemlineata";"Insects";"Belgium";2018
"Leucothrips nigripennis";"Insects";"Belgium";2018
"Liposcelis bostrychophila";"Insects";"Belgium";2018
"Liposcelis brunnea";"Insects";"Belgium";2018
"Liposcelis paeta";"Insects";"Belgium";2018
"Nicoletia phytophila";"Insects";"Belgium";2016
"Otiorhynchus indefinitus";"Insects";"Belgium";2013
"Parthenothrips dracaenae";"Insects";"Belgium";2018
"Paysandisia archon";"Insects";"Belgium";2011
"Pheidole anastasii";"Insects";"Belgium";2018
"Phytomyza jucunda";"Insects";"Belgium";2015
"Pseudagrion microcephalum";"Insects";"Belgium";2011
"Psoquilla marginepunctata";"Insects";"Belgium";2018
"Psyllipsocus ramburii";"Insects";"Belgium";2018
"Sceliphron caementarium";"Insects";"Belgium";2015
"Scirtothrips longipennis";"Insects";"Belgium";2018
"Stelidota geminata";"Insects";"Belgium";2018
"Stephanitis rhododendri";"Insects";"Belgium";2018
"Tachycines asynamorus";"Insects";"Belgium";2018
"Telmatogeton japonicus";"Insects";"Belgium";2019
"Thaumatotibia leucotreta";"Insects";"Belgium";2016
"Thermobia domestica";"Insects";"Belgium";2018
"Trichopsocus clarus";"Insects";"Belgium";2018
"Trogium pulsatorium";"Insects";"Belgium";2018
"Vespa velutina";"Insects";"Belgium";2011
"Xylocopa virginica";"Insects";"Belgium";2015
"Yersinella raymondii";"Insects";"Belgium";2012
"Zyginella pulchra";"Insects";"Belgium";2016
"Boccardia proboscidea";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2011
"Boccardiella hamata";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2011
"Branchiodrilus hortensis";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2010
"Caenoplana coerulea";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2018
"Caenoplana variegata";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2015
"Dolichoplana striata";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2018
"Gyrodactylus proterorhini";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2011
"Kontikia ventrolineata";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2016
"Laonome calida";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2014
"Laonome xeprovala";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2017
"Limnodrilus maumeensis";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2014
"Meloidogyne artiellia";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2011
"Nemopsis bachei";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2012
"Obama nungara";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2017
"Potamothrix heuscheri";"Invertebrates (excl. Arthropods, Molluscs)";"Belgium";2014
"Callosciurus prevostii";"Mammals";"Belgium";2011
"Castor canadensis";"Mammals";"Belgium";2010
"Cervus nippon";"Mammals";"Belgium";2018
"Cynomys ludovicianus";"Mammals";"Belgium";2018
"Dama dama";"Mammals";"Belgium";2018
"Dolichotis patagonum";"Mammals";"Belgium";2014
"Felis catus";"Mammals";"Belgium";2018
"Mephitis mephitis";"Mammals";"Belgium";2014
"Meriones unguiculatus";"Mammals";"Belgium";2010
"Myocastor coypus";"Mammals";"Belgium";2018
"Nyctereutes procyonoides";"Mammals";"Belgium";2018
"Ondatra zibethicus";"Mammals";"Belgium";2018
"Oryctolagus cuniculus";"Mammals";"Belgium";2018
"Ovis ammon";"Mammals";"Belgium";2018
"Rattus norvegicus";"Mammals";"Belgium";2018
"Rupicapra rupicapra";"Mammals";"Belgium";2013
"Sciurus niger";"Mammals";"Belgium";2014
"Tamiasciurus hudsonicus";"Mammals";"Belgium";2015
"Cipangopaludina chinensis";"Molluscs";"Belgium";2016
"Eobania vermiculata";"Molluscs";"Belgium";2014
"Lissachatina fulica";"Molluscs";"Belgium";2018
"Milax gagates";"Molluscs";"Belgium";2018
"Mulinia lateralis";"Molluscs";"Belgium";2019
"Paralaoma servilis";"Molluscs";"Belgium";2014
"Potamocorbula amurensis";"Molluscs";"Belgium";2018
"Striosubulina striatella";"Molluscs";"Belgium";2013
"Abies grandis";"Vascular plants";"Belgium";2019
"Abies homolepis";"Vascular plants";"Belgium";2016
"Abies nordmanniana";"Vascular plants";"Belgium";2016
"Acaena caesiiglauca";"Vascular plants";"Belgium";2019
"Acanthus hungaricus";"Vascular plants";"Belgium";2016
"Acanthus spinosus";"Vascular plants";"Belgium";2016
"Acer cissifolium";"Vascular plants";"Belgium";2014
"Acer japonicum";"Vascular plants";"Belgium";2010
"Acer monspessulanum";"Vascular plants";"Belgium";2015
"Acer palmatum";"Vascular plants";"Belgium";2013
"Acer pensylvanicum";"Vascular plants";"Belgium";2010
"Acer saccharinum";"Vascular plants";"Belgium";2012
"Acer tataricum";"Vascular plants";"Belgium";2012
"Adiantum aleuticum";"Vascular plants";"Belgium";2016
"Aesculus parviflora";"Vascular plants";"Belgium";2013
"Aesculus pavia";"Vascular plants";"Belgium";2011
"Agave americana";"Vascular plants";"Belgium";2013
"Agropogon lutosus";"Vascular plants";"Belgium";2015
"Akebia quinata";"Vascular plants";"Belgium";2015
"Alcea rugosa";"Vascular plants";"Belgium";2010
"Aldrovanda vesiculosa";"Vascular plants";"Belgium";2020
"Allium cepa";"Vascular plants";"Belgium";2011
"Allium christophii";"Vascular plants";"Belgium";2011
"Allium cristophii";"Vascular plants";"Belgium";2011
"Allium hollandicum";"Vascular plants";"Belgium";2012
"Allium karataviense";"Vascular plants";"Belgium";2018
"Allium lusitanicum";"Vascular plants";"Belgium";2014
"Allium macleanii";"Vascular plants";"Belgium";2014
"Allium nigrum";"Vascular plants";"Belgium";2013
"Allium odorum";"Vascular plants";"Belgium";2010
"Allium pendulinum";"Vascular plants";"Belgium";2014
"Allium ramosum";"Vascular plants";"Belgium";2010
"Allium roseum";"Vascular plants";"Belgium";2017
"Allium triquetrum";"Vascular plants";"Belgium";2013
"Allium zebdanense";"Vascular plants";"Belgium";2018
"Alnus pubescens";"Vascular plants";"Belgium";2012
"Alnus spaethii";"Vascular plants";"Belgium";2012
"Alonsoa linearis";"Vascular plants";"Belgium";2017
"Ammannia coccinea";"Vascular plants";"Belgium";2016
"Anaphalis triplinervis";"Vascular plants";"Belgium";2019
"Andryala integrifolia";"Vascular plants";"Belgium";2019
"Anisocampium niponicum";"Vascular plants";"Belgium";2017
"Arabis planisiliqua";"Vascular plants";"Belgium";2011
"Arabis procurrens";"Vascular plants";"Belgium";2011
"Arbutus unedo";"Vascular plants";"Belgium";2014
"Argyranthemum frutescens";"Vascular plants";"Belgium";2017
"Armeria maritima";"Vascular plants";"Belgium";2020
"Artemisia princeps";"Vascular plants";"Belgium";2011
"Artemisia sieversiana";"Vascular plants";"Belgium";2011
"Arundo donax";"Vascular plants";"Belgium";2011
"Aster ageratoides";"Vascular plants";"Belgium";2014
"Ballota nigra";"Vascular plants";"Belgium";2014
"Bellardia trixago";"Vascular plants";"Belgium";2015
"Berberis hybridogagnepainii";"Vascular plants";"Belgium";2011
"Berberis interposita";"Vascular plants";"Belgium";2017
"Berberis wilsoniae";"Vascular plants";"Belgium";2012
"Bergenia ciliata";"Vascular plants";"Belgium";2011
"Bergenia crassifolia";"Vascular plants";"Belgium";2011
"Betonica macrantha";"Vascular plants";"Belgium";2012
"Betula papyrifera";"Vascular plants";"Belgium";2012
"Bistorta affinis";"Vascular plants";"Belgium";2012
"Blitum virgatum";"Vascular plants";"Belgium";2019
"Bolboschoenus glaucus";"Vascular plants";"Belgium";2015
"Bolboschoenus yagara";"Vascular plants";"Belgium";2017
"Brassica barrelieri";"Vascular plants";"Belgium";2013
"Brassica carinata";"Vascular plants";"Belgium";2017
"Bromus carinatus";"Vascular plants";"Belgium";2013
"Bromus japonicus";"Vascular plants";"Belgium";2013
"Broussonetia papyrifera";"Vascular plants";"Belgium";2011
"Callicarpa bodinieri";"Vascular plants";"Belgium";2014
"Camassia leichtlinii";"Vascular plants";"Belgium";2013
"Canna generalis";"Vascular plants";"Belgium";2019
"Cardamine graeca";"Vascular plants";"Belgium";2014
"Carex agastachys";"Vascular plants";"Belgium";2017
"Carex grayi";"Vascular plants";"Belgium";2011
"Carex loliacea";"Vascular plants";"Belgium";2015
"Carex melanostachya";"Vascular plants";"Belgium";2010
"Carex muricata";"Vascular plants";"Belgium";2010
"Carex muskingumensis";"Vascular plants";"Belgium";2010
"Carex praecox";"Vascular plants";"Belgium";2013
"Carex scoparia";"Vascular plants";"Belgium";2013
"Caryopteris clandonensis";"Vascular plants";"Belgium";2011
"Caryopteris incana";"Vascular plants";"Belgium";2017
"Celosia argentea";"Vascular plants";"Belgium";2019
"Cenchrus alopecuroides";"Vascular plants";"Belgium";2011
"Centaurea benedicta";"Vascular plants";"Belgium";2014
"Centaurea calocephala";"Vascular plants";"Belgium";2014
"Centaurea macroptilon";"Vascular plants";"Belgium";2012
"Centranthus calcitrapae";"Vascular plants";"Belgium";2019
"Cerastium arvense subsp. arvense x tomentosum";"Vascular plants";"Belgium";2020
"Cercidiphyllum japonicum";"Vascular plants";"Belgium";2014
"Chaerophyllum aureum";"Vascular plants";"Belgium";2020
"Chamaenerion dodonaei";"Vascular plants";"Belgium";2012
"Chelone obliqua";"Vascular plants";"Belgium";2011
"Chenopodium betulifolium";"Vascular plants";"Belgium";2015
"Chenopodium reynieri";"Vascular plants";"Belgium";2015
"Chlorophytum comosum";"Vascular plants";"Belgium";2011
"Cichorium calvum";"Vascular plants";"Belgium";2012
"Clarkia amoena";"Vascular plants";"Belgium";2012
"Clarkia bottae";"Vascular plants";"Belgium";2017
"Clarkia purpurea";"Vascular plants";"Belgium";2012
"Claytonia rubra";"Vascular plants";"Belgium";2012
"Clematis montana";"Vascular plants";"Belgium";2014
"Clerodendrum bungei";"Vascular plants";"Belgium";2016
"Colchicum byzantinum";"Vascular plants";"Belgium";2013
"Colpodium pisidicum";"Vascular plants";"Belgium";2011
"Conringia planisiliqua";"Vascular plants";"Belgium";2013
"Cornus sanguinea";"Vascular plants";"Belgium";2010
"Corydalis linstowiana";"Vascular plants";"Belgium";2019
"Corylus colurna";"Vascular plants";"Belgium";2012
"Corylus maxima";"Vascular plants";"Belgium";2018
"Cosmos sulphureus";"Vascular plants";"Belgium";2015
"Cotoneaster acutifolius";"Vascular plants";"Belgium";2011
"Cotoneaster ambiguus";"Vascular plants";"Belgium";2010
"Cotoneaster ascendens";"Vascular plants";"Belgium";2010
"Cotoneaster bullatus";"Vascular plants";"Belgium";2010
"Cotoneaster conspicuus";"Vascular plants";"Belgium";2010
"Cotoneaster coriaceus";"Vascular plants";"Belgium";2010
"Cotoneaster franchetii";"Vascular plants";"Belgium";2010
"Cotoneaster ganghobaensis";"Vascular plants";"Belgium";2011
"Cotoneaster moupinensis";"Vascular plants";"Belgium";2010
"Cotoneaster nanshan";"Vascular plants";"Belgium";2010
"Cotoneaster qungbixiensis";"Vascular plants";"Belgium";2011
"Cotoneaster salicifolius";"Vascular plants";"Belgium";2011
"Cotoneaster watereri";"Vascular plants";"Belgium";2010
"Cotoneaster zabelii";"Vascular plants";"Belgium";2010
"Crataegus coccinea";"Vascular plants";"Belgium";2010
"Crepis bursifolia";"Vascular plants";"Belgium";2016
"Crocosmia crocosmiiflora";"Vascular plants";"Belgium";2013
"Crocus chrysanthus";"Vascular plants";"Belgium";2013
"Crocus luteus";"Vascular plants";"Belgium";2013
"Crocus tommasinianus";"Vascular plants";"Belgium";2020
"Cucumis dipsaceus";"Vascular plants";"Belgium";2018
"Cucurbita maxima";"Vascular plants";"Belgium";2017
"Cucurbita moschata";"Vascular plants";"Belgium";2014
"Cuscuta epilinum";"Vascular plants";"Belgium";2011
"Cuscuta lupuliformis";"Vascular plants";"Belgium";2013
"Cyclachaena xanthiifolia";"Vascular plants";"Belgium";2015
"Cyclamen coum";"Vascular plants";"Belgium";2011
"Cynara cardunculus";"Vascular plants";"Belgium";2015
"Cynara scolymus";"Vascular plants";"Belgium";2015
"Cynoglossum amabile";"Vascular plants";"Belgium";2011
"Daboecia cantabrica";"Vascular plants";"Belgium";2012
"Dahlia coccinea";"Vascular plants";"Belgium";2015
"Danae racemosa";"Vascular plants";"Belgium";2015
"Darmera peltata";"Vascular plants";"Belgium";2011
"Decaisnea insignis";"Vascular plants";"Belgium";2015
"Delosperma cooperi";"Vascular plants";"Belgium";2018
"Dichanthelium clandestinum";"Vascular plants";"Belgium";2012
"Dichondra argentea";"Vascular plants";"Belgium";2015
"Dichondra micrantha";"Vascular plants";"Belgium";2017
"Digitaria abyssinica";"Vascular plants";"Belgium";2012
"Dipsacus strigosus";"Vascular plants";"Belgium";2012
"Drosanthemum floribundum";"Vascular plants";"Belgium";2018
"Dryopteris cycadina";"Vascular plants";"Belgium";2015
"Dryopteris erythrosora";"Vascular plants";"Belgium";2015
"Dysphania anthelmintica";"Vascular plants";"Belgium";2016
"Echinochloa oryzoides";"Vascular plants";"Belgium";2016
"Echinopsis albispinosa";"Vascular plants";"Belgium";2012
"Elaeagnus macrophylla";"Vascular plants";"Belgium";2013
"Elaeagnus pungens";"Vascular plants";"Belgium";2012
"Eleocharis engelmannii";"Vascular plants";"Belgium";2014
"Eleocharis mamillata";"Vascular plants";"Belgium";2014
"Ellisiophyllum pinnatum";"Vascular plants";"Belgium";2016
"Epilobium brachycarpum";"Vascular plants";"Belgium";2012
"Epimedium pinnatum";"Vascular plants";"Belgium";2012
"Equisetum scirpoides";"Vascular plants";"Belgium";2014
"Eragrostis pilosa";"Vascular plants";"Belgium";2015
"Erica darleyensis";"Vascular plants";"Belgium";2016
"Eriochloa villosa";"Vascular plants";"Belgium";2016
"Erodium trifolium";"Vascular plants";"Belgium";2017
"Eryngium bourgatii";"Vascular plants";"Belgium";2013
"Erythranthe cuprea";"Vascular plants";"Belgium";2011
"Erythranthe guttata";"Vascular plants";"Belgium";2012
"Erythranthe lutea";"Vascular plants";"Belgium";2012
"Erythranthe moschata";"Vascular plants";"Belgium";2019
"Euonymus alatus";"Vascular plants";"Belgium";2011
"Euonymus fortunei";"Vascular plants";"Belgium";2010
"Euonymus japonicus";"Vascular plants";"Belgium";2010
"Euphorbia pseudoesula";"Vascular plants";"Belgium";2017
"Filago congesta";"Vascular plants";"Belgium";2019
"Fritillaria imperialis";"Vascular plants";"Belgium";2019
"Fumaria bastardii";"Vascular plants";"Belgium";2017
"Galanthus nivalis";"Vascular plants";"Belgium";2014
"Galanthus plicatus";"Vascular plants";"Belgium";2015
"Galanthus woronowii";"Vascular plants";"Belgium";2015
"Geranium psilostemon";"Vascular plants";"Belgium";2013
"Geranium wallichianum";"Vascular plants";"Belgium";2019
"Ginkgo biloba";"Vascular plants";"Belgium";2011
"Gladiolus italicus";"Vascular plants";"Belgium";2012
