"","species","LifeForm","google_sum","google_mean"
"166","Corylus colurna","Vascular plants",626,4.34722222222222
"167","Corylus maxima","Vascular plants",350,2.43055555555556
"168","Corythauma ayyari","Insects",0,0
"169","Corythucha arcuata","Insects",37,0.256944444444444
"181","Cosmos sulphureus","Vascular plants",509,3.53472222222222
"183","Cotoneaster ambiguus","Vascular plants",0,0
"184","Cotoneaster ascendens","Vascular plants",0,0
"185","Cotoneaster bullatus","Vascular plants",144,1
"186","Cotoneaster conspicuus","Vascular plants",0,0
"187","Cotoneaster coriaceus","Vascular plants",53,0.368055555555556
"188","Cotoneaster divaricatus","Vascular plants",118,0.819444444444444
"189","Cotoneaster hylmoei","Vascular plants",0,0
"190","Cotoneaster mairei","Vascular plants",0,0
"191","Cotoneaster qungbixiensis","Vascular plants",0,0
"192","Cotoneaster zabelii","Vascular plants",0,0
"193","Crangon crangon","Crustaceans",407,2.82638888888889
"194","Crangonyx pseudogracilis","Crustaceans",0,0
"195","Crassula helmsii","Vascular plants",205,1.42361111111111
"196","Crassula natans","Vascular plants",0,0
"197","Crataegus pedicellata","Vascular plants",73,0.506944444444444
"198","Crepis bursifolia","Vascular plants",42,0.291666666666667
"199","Crinifer zonurus","Birds",0,0
"200","Crocosmia crocosmiiflora","Vascular plants",301,2.09027777777778
"201","Crocus chrysanthus","Vascular plants",226,1.56944444444444
"202","Crocus luteus","Vascular plants",0,0
"203","Crocus tommasinianus","Vascular plants",337,2.34027777777778
"204","Ctenolepisma longicaudatum","Insects",15,0.104166666666667
"205","Ctenoplusia limbirena","Insects",0,0
"206","Cucurbita maxima","Vascular plants",1303,9.04861111111111
"207","Cucurbita moschata","Vascular plants",768,5.33333333333333
"208","Cyanoramphus novaezelandiae","Birds",101,0.701388888888889
"209","Cyclachaena xanthiifolia","Vascular plants",12,0.0833333333333333
"210","Cyclamen coum","Vascular plants",601,4.17361111111111
"211","Cydalima perspectalis","Insects",262,1.81944444444444
"223","Cygnus melancoryphus","Birds",0,0
"224","Cynara cardunculus","Vascular plants",924,6.41666666666667
"225","Cynara scolymus","Vascular plants",2102,14.5972222222222
"226","Cynoglossum amabile","Vascular plants",206,1.43055555555556
"227","Cynomys ludovicianus","Mammals",142,0.986111111111111
"228","Cyrtaspis scutata","Insects",11,0.0763888888888889
"229","Daboecia cantabrica","Vascular plants",244,1.69444444444444
"230","Danae racemosa","Vascular plants",207,1.4375
"231","Darmera peltata","Vascular plants",521,3.61805555555556
"232","Datura innoxia","Vascular plants",274,1.90277777777778
"233","Decaisnea insignis","Vascular plants",0,0
"234","Delosperma cooperi","Vascular plants",1029,7.14583333333333
"235","Diadema setosum","Invertebrates (excl. Arthropods, Molluscs)",207,1.4375
"236","Diadumene lineata","Invertebrates (excl. Arthropods, Molluscs)",47,0.326388888888889
"237","Dianthus deltoides","Vascular plants",798,5.54166666666667
"238","Dichondra argentea","Vascular plants",300,2.08333333333333
"239","Dichondra micrantha","Vascular plants",110,0.763888888888889
"240","Dicranopalpus larvatus","Arthropods p.p. (Myriapods, Diplopods etc.)",0,0
"241","Dipsacus strigosus","Vascular plants",0,0
"242","Drepanaphis acerifoliae","Insects",0,0
"243","Drosophila suzukii","Insects",1100,7.63888888888889
"251","Dryocosmus kuriphilus","Insects",174,1.20833333333333
"258","Dryopteris cycadina","Vascular plants",79,0.548611111111111
"259","Dryopteris erythrosora","Vascular plants",497,3.45138888888889
"261","Dysphania anthelmintica","Vascular plants",0,0
"262","Earias roseifera","Insects",0,0
"263","Echinochloa oryzoides","Vascular plants",0,0
"264","Echinopsis albispinosa","Vascular plants",0,0
"265","Eclectus roratus","Birds",300,2.08333333333333
"266","Elaeagnus pungens","Vascular plants",617,4.28472222222222
"267","Elaeagnus umbellata","Vascular plants",466,3.23611111111111
"268","Eleocharis engelmannii","Vascular plants",0,0
"269","Ensis leei","Molluscs",0,0
"270","Eolophus roseicapilla","Birds",105,0.729166666666667
"271","Epilobium brachycarpum","Vascular plants",55,0.381944444444444
"272","Epilobium hirsutum","Vascular plants",233,1.61805555555556
"273","Epimedium pinnatum","Vascular plants",124,0.861111111111111
"274","Equisetum arvense","Vascular plants",3063,21.2708333333333
"276","Equisetum scirpoides","Vascular plants",106,0.736111111111111
"277","Equisetum variegatum","Vascular plants",77,0.534722222222222
"279","Eragrostis pilosa","Vascular plants",76,0.527777777777778
"280","Eremocoris fenestratus","Insects",0,0
"281","Erigeron annuus","Vascular plants",334,2.31944444444444
"283","Erodium trifolium","Vascular plants",0,0
"284","Eryngium bourgatii","Vascular plants",187,1.29861111111111
"285","Erysiphe corylacearum","Fungi",0,0
"286","Erythranthe cuprea","Vascular plants",0,0
"287","Erythranthe guttata","Vascular plants",49,0.340277777777778
"288","Erythranthe lutea","Vascular plants",0,0
"289","Erythranthe moschata","Vascular plants",0,0
"290","Erythrina crista-galli","Vascular plants",509,3.53472222222222
"291","Eucalyptus globulus","Vascular plants",4613,32.0347222222222
"292","Eudocimus ruber","Birds",126,0.875
"293","Eukoebelea australiensis","Insects",0,0
"294","Euonymus alatus","Vascular plants",2737,19.0069444444444
"295","Euonymus fortunei","Vascular plants",3122,21.6805555555556
"296","Euonymus japonicus","Vascular plants",3092,21.4722222222222
"297","Eupholidoptera schmidti","Insects",0,0
"298","Exomias pellucidus","Insects",0,0
"299","Fabrella tsugae","Fungi",0,0
"300","Ficopomatus enigmaticus","Invertebrates (excl. Arthropods, Molluscs)",86,0.597222222222222
"301","Gaillardia aristata","Vascular plants",526,3.65277777777778
"302","Galanthus nivalis","Vascular plants",1119,7.77083333333333
"303","Galanthus plicatus","Vascular plants",115,0.798611111111111
"304","Galanthus woronowii","Vascular plants",165,1.14583333333333
"306","Geranium maderense","Vascular plants",305,2.11805555555556
"307","Geranium psilostemon","Vascular plants",255,1.77083333333333
"308","Ginkgo biloba","Vascular plants",9517,66.0902777777778
"309","Gladiolus italicus","Vascular plants",144,1
"310","Glandularia hybrida","Vascular plants",42,0.291666666666667
"311","Glaucium grandiflorum","Vascular plants",0,0
"312","Glycaspis brimblecombei","Insects",101,0.701388888888889
"315","Gobiosoma bosc","Fishes",0,0
"316","Gomphocarpus fruticosus","Vascular plants",142,0.986111111111111
"317","Gracilaria vermiculophylla","Algae",74,0.513888888888889
"318","Gracilechinus acutus","Invertebrates (excl. Arthropods, Molluscs)",0,0
"319","Graphocephala fennahi","Insects",46,0.319444444444444
"320","Graptemys pseudogeographica","Reptiles",247,1.71527777777778
"321","Grus canadensis","Birds",126,0.875
"322","Grus vipio","Birds",0,0
"323","Gryllus bimaculatus","Insects",272,1.88888888888889
"324","Gunnera tinctoria","Vascular plants",318,2.20833333333333
"325","Gutenbergia rueppellii","Vascular plants",0,0
"326","Haemorhous mexicanus","Birds",80,0.555555555555556
"327","Haliaeetus leucocephalus","Birds",462,3.20833333333333
"328","Halyomorpha halys","Insects",825,5.72916666666667
"338","Hedera colchica","Vascular plants",361,2.50694444444444
"339","Hedera hibernica","Vascular plants",949,6.59027777777778
"340","Hedera maroccana","Vascular plants",0,0
"341","Helianthus decapetalus","Vascular plants",189,1.3125
"342","Helleborus lividus","Vascular plants",134,0.930555555555556
"343","Hemigrapsus sanguineus","Crustaceans",107,0.743055555555556
"344","Hemigrapsus takanoi","Crustaceans",51,0.354166666666667
"346","Henosepilachna vigintioctopunctata","Insects",80,0.555555555555556
"347","Heracleum sphondylium","Vascular plants",435,3.02083333333333
"348","Hermetia illucens","Insects",643,4.46527777777778
"351","Hibiscus rosa-sinensis","Vascular plants",1740,12.0833333333333
"352","Hierodula transcaucasica","Insects",0,0
"353","Himantopus mexicanus","Birds",117,0.8125
"354","Hippophae rhamnoides","Vascular plants",1612,11.1944444444444
"356","Hornungia alpina","Vascular plants",30,0.208333333333333
"357","Houttuynia cordata","Vascular plants",1663,11.5486111111111
"359","Hyacinthus orientalis","Vascular plants",612,4.25
"360","Hydrangea macrophylla","Vascular plants",4089,28.3958333333333
"361","Hygromia cinctella","Molluscs",0,0
"362","Hylaeus euxanthus","Insects",0,0
"363","Hylotelephium spectabile","Vascular plants",165,1.14583333333333
"365","Hymenoscyphus fraxineus","Fungi",82,0.569444444444444
"367","Hypericum inodorum","Vascular plants",284,1.97222222222222
"368","Hypericum olympicum","Vascular plants",119,0.826388888888889
"369","Ictalurus punctatus","Fishes",278,1.93055555555556
"370","Ilex crenata","Vascular plants",4797,33.3125
"371","Illinoia liriodendri","Insects",0,0
"372","Impatiens balsamina","Vascular plants",1017,7.0625
"373","Ipheion uniflorum","Vascular plants",273,1.89583333333333
"374","Isodontia mexicana","Insects",109,0.756944444444444
"375","Jacaranda mimosifolia","Vascular plants",1954,13.5694444444444
"376","Juglans cinerea","Vascular plants",315,2.1875
"377","Knautia macedonica","Vascular plants",751,5.21527777777778
"378","Koeleria glauca","Vascular plants",295,2.04861111111111
"379","Koenigia campanulata","Vascular plants",0,0
"380","Kolkwitzia amabilis","Vascular plants",886,6.15277777777778
"381","Lachnus tatakaensis","Insects",0,0
"382","Lactuca plumieri","Vascular plants",0,0
"383","Lamium orvala","Vascular plants",184,1.27777777777778
"384","Lamprocapnos spectabilis","Vascular plants",238,1.65277777777778
"385","Lamprodila festiva","Insects",36,0.25
"386","Lamprotornis splendidus","Birds",0,0
"387","Lantana camara","Vascular plants",5103,35.4375
"388","Lantanophaga pusillidactylus","Insects",0,0
"389","Lathyrus heterophyllus","Vascular plants",22,0.152777777777778
"390","Laurus nobilis","Vascular plants",4713,32.7291666666667
"391","Leonotis leonurus","Vascular plants",971,6.74305555555556
"392","Leptoglossus occidentalis","Insects",387,2.6875
"398","Leucaena leucocephala","Vascular plants",1589,11.0347222222222
"400","Leycesteria formosa","Vascular plants",917,6.36805555555556
"401","Liatris spicata","Vascular plants",3050,21.1805555555556
"402","Ligularia dentata","Vascular plants",529,3.67361111111111
"403","Lilium hollandicum","Vascular plants",0,0
"404","Limnobium laevigatum","Vascular plants",680,4.72222222222222
"405","Linaria maroccana","Vascular plants",379,2.63194444444444
"406","Linaria purpurea","Vascular plants",376,2.61111111111111
"407","Lomelosia stellata","Vascular plants",31,0.215277777777778
"408","Lonchura punctulata","Birds",113,0.784722222222222
"409","Lonicera chrysantha","Vascular plants",0,0
"410","Lonicera fragrantissima","Vascular plants",706,4.90277777777778
"411","Lonicera involucrata","Vascular plants",175,1.21527777777778
"412","Lonicera maackii","Vascular plants",209,1.45138888888889
"413","Lonicera morrowii","Vascular plants",115,0.798611111111111
"414","Lophodytes cucullatus","Birds",0,0
"415","Lophura leucomelanos","Birds",49,0.340277777777778
"416","Lotus corniculatus","Vascular plants",959,6.65972222222222
"417","Luperomorpha xanthodera","Insects",0,0
"418","Luzula nivea","Vascular plants",557,3.86805555555556
"419","Lycianthes rantonnetii","Vascular plants",193,1.34027777777778
"420","Lysimachia fortunei","Vascular plants",76,0.527777777777778
"421","Mahonia aquifolium","Vascular plants",1853,12.8680555555556
"422","Mahonia bealei","Vascular plants",305,2.11805555555556
"424","Maianthemum stellatum","Vascular plants",80,0.555555555555556
"425","Malus purpurea","Vascular plants",196,1.36111111111111
"426","Manihot grahamii","Vascular plants",188,1.30555555555556
"427","Mazus miquelii","Vascular plants",27,0.1875
"428","Mazus pumilus","Vascular plants",65,0.451388888888889
"429","Medicago monspeliaca","Vascular plants",0,0
"430","Megabruchidius dorsalis","Insects",0,0
"431","Megabruchidius tonkineus","Insects",0,0
"432","Megachile sculpturalis","Insects",70,0.486111111111111
"433","Melampyrum nemorosum","Vascular plants",95,0.659722222222222
"434","Melilotus elegans","Vascular plants",0,0
"435","Melilotus infestus","Vascular plants",0,0
"436","Mentha cervina","Vascular plants",115,0.798611111111111
"437","Mentha requienii","Vascular plants",179,1.24305555555556
"438","Metrosideros excelsa","Vascular plants",584,4.05555555555556
"439","Microlepia platyphylla","Vascular plants",0,0
"440","Micromeria filiformis","Vascular plants",0,0
"441","Mirabilis jalapa","Vascular plants",3638,25.2638888888889
"442","Misgurnus fossilis","Fishes",156,1.08333333333333
"443","Monoxia obesula","Insects",0,0
"444","Morus nigra","Vascular plants",1603,11.1319444444444
"445","Muehlenbeckia complexa","Vascular plants",489,3.39583333333333
"446","Mulinia lateralis","Molluscs",39,0.270833333333333
"447","Muscari armeniacum","Vascular plants",1044,7.25
"449","Muscari latifolium","Vascular plants",182,1.26388888888889
"450","Musophaga violacea","Birds",0,0
"451","Mustela putorius","Mammals",734,5.09722222222222
"452","Myoporum tenuifolium","Vascular plants",0,0
"453","Myosotis alpestris","Vascular plants",278,1.93055555555556
"454","Nandina domestica","Vascular plants",5928,41.1666666666667
"455","Narcissus pseudonarcissus","Vascular plants",495,3.4375
"456","Narcissus tazetta","Vascular plants",393,2.72916666666667
"457","Neillia incisa","Vascular plants",0,0
"458","Neillia tanakae","Vascular plants",0,0
"459","Nematus ribesii","Insects",49,0.340277777777778
"460","Nematus tibialis","Insects",0,0
"461","Nemophila maculata","Vascular plants",167,1.15972222222222
"462","Neogobius melanostomus","Fishes",138,0.958333333333333
"463","Nepeta racemosa","Vascular plants",316,2.19444444444444
"464","Nephrolepis exaltata","Vascular plants",1089,7.5625
"465","Nettapus coromandelianus","Birds",0,0
"466","Neurogalesus militis","Insects",0,0
"467","Nothoscordum gracile","Vascular plants",75,0.520833333333333
"468","Obolodiplosis robiniae","Insects",0,0
"469","Oenothera canovirens","Vascular plants",0,0
"470","Oenothera casimiri","Vascular plants",0,0
"471","Oenothera glazioviana","Vascular plants",109,0.756944444444444
"472","Oenothera lindheimeri","Vascular plants",100,0.694444444444444
"474","Oenothera moravica","Vascular plants",0,0
"475","Oenothera rubricalyx","Vascular plants",0,0
"476","Oenothera rubricaulis","Vascular plants",0,0
"477","Oenothera speciosa","Vascular plants",410,2.84722222222222
"478","Oenothera suaveolens","Vascular plants",0,0
"479","Ommatotriton ophryticus","Amphibians",51,0.354166666666667
"480","Oncorhynchus mykiss","Fishes",1086,7.54166666666667
"481","Onopordum tauricum","Vascular plants",30,0.208333333333333
"482","Ophraella communa","Insects",66,0.458333333333333
"484","Opuntia ficus-indica","Vascular plants",1251,8.6875
"485","Orientus ishidae","Insects",0,0
"486","Ornithogalum narbonense","Vascular plants",59,0.409722222222222
"487","Osmia cornuta","Insects",156,1.08333333333333
"488","Ovis aries","Mammals",1076,7.47222222222222
"489","Oxalis dillenii","Vascular plants",152,1.05555555555556
"490","Oxalis tetraphylla","Vascular plants",232,1.61111111111111
"491","Oxalis triangularis","Vascular plants",2872,19.9444444444444
"492","Oxyura vittata","Birds",175,1.21527777777778
"493","Pachysandra terminalis","Vascular plants",1858,12.9027777777778
"494","Paeonia lactiflora","Vascular plants",1649,11.4513888888889
"495","Palaemon elegans","Crustaceans",161,1.11805555555556
"496","Panicum capillare","Vascular plants",153,1.0625
"497","Papaver nudicaule","Vascular plants",405,2.8125
"498","Parentucellia latifolia","Vascular plants",65,0.451388888888889
"499","Parmelina quercina","Fungi",0,0
"500","Paronychia argentea","Vascular plants",106,0.736111111111111
"501","Paropsisterna beata","Insects",0,0
"502","Paropsisterna selmani","Insects",0,0
"503","Parthenocissus quinquefolia","Vascular plants",1330,9.23611111111111
"504","Parupeneus forsskali","Fishes",21,0.145833333333333
"505","Pelargonium candicans","Vascular plants",0,0
"506","Pelecanus conspicillatus","Birds",54,0.375
"507","Pelodiscus sinensis","Reptiles",272,1.88888888888889
"508","Penaeus aztecus","Crustaceans",0,0
"509","Penaeus pulchricaudatus","Crustaceans",0,0
"510","Penthimiola bella","Insects",0,0
"511","Percnon gibbesi","Crustaceans",180,1.25
"512","Perovskia abrotanoides","Vascular plants",140,0.972222222222222
"513","Perovskia atriplicifolia","Vascular plants",1005,6.97916666666667
"515","Persea americana","Vascular plants",1786,12.4027777777778
"516","Persicaria nepalensis","Vascular plants",0,0
"517","Phacelia campanularia","Vascular plants",191,1.32638888888889
"518","Phedimus stoloniferus","Vascular plants",4,0.0277777777777778
"519","Phellopsylla formicosa","Insects",0,0
"520","Phenolia picta","Insects",0,0
"521","Phodopus sungorus","Mammals",214,1.48611111111111
"522","Phoenix dactylifera","Vascular plants",1648,11.4444444444444
"523","Phormium tenax","Vascular plants",2030,14.0972222222222
"524","Phyla nodiflora","Vascular plants",429,2.97916666666667
"525","Phyllostachys viridiglaucescens","Vascular plants",104,0.722222222222222
"526","Phymosia umbellata","Vascular plants",67,0.465277777777778
"527","Physostegia virginiana","Vascular plants",537,3.72916666666667
"528","Phyteuma spicatum","Vascular plants",114,0.791666666666667
"529","Picea abies","Vascular plants",5235,36.3541666666667
"530","Picea omorika","Vascular plants",1335,9.27083333333333
"532","Picea sitchensis","Vascular plants",300,2.08333333333333
"533","Pieris brassicae","Insects",514,3.56944444444444
"534","Pilosella officinarum","Vascular plants",96,0.666666666666667
"535","Pinctada imbricata","Molluscs",0,0
"536","Pinus sylvestris","Vascular plants",4169,28.9513888888889
"537","Pinus wallichiana","Vascular plants",558,3.875
"538","Pittosporum tobira","Vascular plants",2835,19.6875
"539","Plantago sempervirens","Vascular plants",0,0
"540","Platycercus icterotis","Birds",0,0
"541","Platycodon grandiflorus","Vascular plants",786,5.45833333333333
"542","Poa infirma","Vascular plants",25,0.173611111111111
"543","Polygonatum hybridum","Vascular plants",99,0.6875
"544","Polypogon viridis","Vascular plants",0,0
"545","Polystichum acrostichoides","Vascular plants",190,1.31944444444444
"546","Polystichum aculeatum","Vascular plants",156,1.08333333333333
"547","Polystichum munitum","Vascular plants",276,1.91666666666667
"548","Polystichum polyblepharum","Vascular plants",258,1.79166666666667
"549","Polytelis anthopeplus","Birds",84,0.583333333333333
"550","Polytelis swainsonii","Birds",90,0.625
"551","Popillia japonica","Insects",571,3.96527777777778
"552","Potentilla recta","Vascular plants",181,1.25694444444444
"553","Primula florindae","Vascular plants",157,1.09027777777778
"554","Procyon lotor","Mammals",1029,7.14583333333333
"555","Pseudemys concinna","Reptiles",210,1.45833333333333
"556","Pseudoturritis turrita","Vascular plants",0,0
"557","Psyllaephagus bliteus","Insects",0,0
"558","Pteris multifida","Vascular plants",66,0.458333333333333
"559","Pteris vittata","Vascular plants",339,2.35416666666667
"560","Pterostyrax hispidus","Vascular plants",0,0
"561","Pulicaria arabica","Vascular plants",0,0
"562","Pulmonaria rubra","Vascular plants",116,0.805555555555556
"563","Pycnanthemum verticillatum","Vascular plants",0,0
"564","Pycnonotus leucotis","Birds",0,0
"565","Pyracantha fortuneana","Vascular plants",0,0
"566","Quercus frainetto","Vascular plants",222,1.54166666666667
"567","Quercus ilex","Vascular plants",3217,22.3402777777778
"568","Quiscalus quiscula","Birds",81,0.5625
"569","Rangia cuneata","Molluscs",66,0.458333333333333
"571","Ranunculus pensylvanicus","Vascular plants",0,0
"572","Raphanus raphanistrum","Vascular plants",392,2.72222222222222
"573","Rhacocleis annulata","Insects",0,0
"574","Rhagoletis cingulata","Insects",0,0
"575","Rhithropanopeus harrisii","Crustaceans",82,0.569444444444444
"578","Rhodospiza obsoleta","Birds",0,0
"579","Rhyzobius forestieri","Insects",0,0
"580","Rhyzobius lophanthae","Insects",0,0
"581","Ricania speculum","Insects",48,0.333333333333333
"582","Rodgersia podophylla","Vascular plants",228,1.58333333333333
"583","Rosa chinensis","Vascular plants",1221,8.47916666666667
"584","Rosa nitida","Vascular plants",204,1.41666666666667
"585","Rubus armeniacus","Vascular plants",114,0.791666666666667
"586","Rubus cockburnianus","Vascular plants",161,1.11805555555556
"587","Rubus laciniatus","Vascular plants",97,0.673611111111111
"588","Rudbeckia fulgida","Vascular plants",1221,8.47916666666667
"589","Rumex crispus","Vascular plants",1528,10.6111111111111
"590","Rumex cristatus","Vascular plants",0,0
