"","species","Region","LifeForm","off_FirstRec","count","firstRec","phylum","class","timeLag","eu_status","google","scopus","EASIN_Id.x","Status.x","TER.x","FRW.x","MAR.x","EST.x","habitat","worst_100_world_ISSG","worst_100_Europe_DAISIE","mentioned_in_EU_quarantine_species","partly_native","obsEffort_LF","ResearchEffort","nOccTotSp","obsInNeigborCountryBefore","google_country_porc","google_country_tot","EASIN_Id.y","Status.y","TER.y","FRW.y","MAR.y","EST.y","Kingdom","Phylum","Class","Order","Family"
"42","Amaranthus blitum","Italy","Vascular plants",2012,49,2016,"Tracheophyta","Magnoliopsida",4,"NO",3249,223,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",967299,162,2959,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Amaranthus palmeri","Italy","Vascular plants",2015,2,2019,"Tracheophyta","Magnoliopsida",4,"NO",4075,2822,"R00761","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",967299,162,18,FALSE,4,163,"R00761","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae"
"44","Amathia verticillata","France","Bryozoa",2015,4,2019,"Bryozoa","Gymnolaemata",4,"NO",0,94,"R19294","A",0,0,1,0,"Marine","NO","NO","NO","NO",62,142,NA,FALSE,0,0,"R19294","A","0","0","1","0","Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae"
"45","Ammannia coccinea","Belgium","Vascular plants",2016,1,2016,"Tracheophyta","Magnoliopsida",0,"NO",757,53,"R00849","A",1,1,0,0,"Freshwater_Terrestrial","NO","NO","NO","NO",1132699,480,17,FALSE,0,0,"R00849","A","1","1","0","0","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae"
"46","Ammothea hilgendorfi","Netherlands","Arthropods p.p. (Myriapods, Diplopods etc.)",2013,9,2017,"Arthropoda","Pycnogonida",4,"NO",276,55,"R00857","A",0,0,1,0,"Marine","NO","NO","NO","NO",80629,30,NA,FALSE,0,0,"R00857","A","0","0","1","0","Animalia","Arthropoda","Pycnogonida","Pantopoda","Ammotheidae"
"47","Anaphalis triplinervis","Belgium","Vascular plants",2019,1,2017,"Tracheophyta","Magnoliopsida",-2,"NO",4031,8,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,30,FALSE,97,3910.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Anas bahamensis","Slovenia","Birds",2015,2,2016,"Chordata","Aves",1,"NO",592,53,"R00926","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",78261,45,608,TRUE,0,0,"R00926","A","1","0","0","0","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"49","Anas erythrorhyncha","Belgium","Birds",2015,3,2015,"Chordata","Aves",0,"NO",0,44,"R00933","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",788948,480,10,TRUE,0,0,"R00933","A","1","0","0","0","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"50","Anas hottentota","Spain","Birds",2014,1,2003,"Chordata","Aves",-11,"NO",0,6,"R00939","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",10201950,120,NA,FALSE,0,0,"R00939","A","1","0","0","0","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"51","Anas luzonica","Belgium","Birds",2014,2,2014,"Chordata","Aves",0,"NO",663,8,NA,NA,1,1,0,0,"Terrestrial_Freshwater","NO","NO","NO","NO",788948,480,3,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Anas puna","Belgium","Birds",2012,5,2012,"Chordata","Aves",0,"NO",0,277,NA,NA,1,1,0,0,"Terrestrial_Freshwater","NO","NO","NO","NO",788948,480,9,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Anas superciliosa","Belgium","Birds",2013,1,2013,"Chordata","Aves",0,"NO",0,338,NA,NA,1,1,0,0,"Terrestrial_Freshwater","NO","NO","NO","NO",788948,480,2,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Anisocampium niponicum","Belgium","Vascular plants",2017,1,2017,"Tracheophyta","Polypodiopsida",0,"NO",0,0,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,3,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Anoplophora glabripennis","France","Insects",2013,1,2018,"Arthropoda","Insecta",5,"NO",1966,1970,"R01061","A",1,0,0,0,"Terrestrial","YES","YES","YES","NO",514135,142,NA,TRUE,58,1140.28,"R01061","A","1","0","0","0","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae"
"56","Anoplophora glabripennis","Netherlands","Insects",2012,2,2008,"Arthropoda","Insecta",-4,"NO",1966,1970,"R01061","A",1,0,0,0,"Terrestrial","YES","YES","YES","NO",6331084,30,NA,TRUE,0,0,"R01061","A","1","0","0","0","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae"
"57","Apalone ferox","Spain","Reptiles",2018,3,2017,"Chordata","Reptilia",-1,"NO",2399,147,NA,NA,1,1,0,0,"Terrestrial_Freshwater","NO","NO","NO","NO",16959,120,3,FALSE,32,767.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Aphis illinoisensis","Spain","Insects",2011,2,2018,"Arthropoda","Insecta",7,"NO",0,52,"R01201","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",264021,120,NA,FALSE,0,0,"R01201","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae"
"59","Aproceros leucopoda","United Kingdom","Insects",2017,42,2018,"Arthropoda","Insecta",1,"NO",593,53,"R17732","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",6320677,102,NA,FALSE,0,0,"R17732","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hymenoptera","Argidae"
"60","Aproceros leucopoda","Germany","Insects",2010,20,2016,"Arthropoda","Insecta",6,"NO",593,53,"R17732","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1575546,51,NA,FALSE,0,0,"R17732","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hymenoptera","Argidae"
"61","Aproceros leucopoda","Belgium","Insects",2013,398,2014,"Arthropoda","Insecta",1,"NO",593,53,"R17732","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",482504,480,NA,TRUE,0,0,"R17732","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hymenoptera","Argidae"
"62","Aquilegia dumeticola","France","Vascular plants",2012,5,2010,"Tracheophyta","Magnoliopsida",-2,"NO",0,0,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",3156527,142,47,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Arabis procurrens","Belgium","Vascular plants",2011,6,2014,"Tracheophyta","Magnoliopsida",3,"NO",1662,10,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,107,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Aridelus rufotestaceus","New Zealand","Insects",2013,11,2010,"Arthropoda","Insecta",-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,11,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Armeria maritima","Belgium","Vascular plants",2020,332,2007,"Tracheophyta","Magnoliopsida",-13,"NO",5622,941,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,19588,TRUE,100,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Aromia bungii","Italy","Insects",2012,11,2019,"Arthropoda","Insecta",7,"NO",1641,67,"R17685","A",1,0,0,0,"Terrestrial","NO","NO","YES","NO",205611,162,NA,FALSE,100,1641,"R17685","A","1","0","0","0","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae"
"67","Artemisia princeps","Belgium","Vascular plants",2011,89,2011,"Tracheophyta","Magnoliopsida",0,"NO",1675,1707,"R19996","A",1,1,1,0,"Terrestrial_ Freshwater_ Marine","NO","NO","NO","NO",1132699,480,98,TRUE,0,0,"R19996","A","1","1","1","0","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"68","Artemisia sieversiana","Belgium","Vascular plants",2011,41,2011,"Tracheophyta","Magnoliopsida",0,"NO",0,363,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,56,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Artemisia verlotiorum","Slovakia","Vascular plants",2013,1,2020,"Tracheophyta","Magnoliopsida",7,"NO",2224,148,"R01498","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",84761,19,NA,TRUE,0,0,"R01498","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"70","Arundo donax","Belgium","Vascular plants",2011,11,2011,"Tracheophyta","Liliopsida",0,"NO",8278,7926,"R01515","A",1,1,0,0,"Freshwater_Terrestrial","YES","NO","NO","NO",1132699,480,5254,TRUE,0,0,"R01515","A","1","1","0","0","Plantae","Tracheophyta","Magnoliopsida","Cyperales","Poaceae"
"71","Asplenium ceterach","Austria","Vascular plants",2017,3,2020,"Tracheophyta","Polypodiopsida",3,"NO",1528,351,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",405467,44,6695,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Aster ageratoides","Belgium","Vascular plants",2014,11,2014,"Tracheophyta","Magnoliopsida",0,"NO",3772,196,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Aureoboletus projectellus","Norway","Fungi",2010,6,2014,"Basidiomycota","Agaricomycetes",4,"NO",604,12,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",465749,76,98,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Austrocylindropuntia cylindrica","Spain","Vascular plants",2011,3,2011,"Tracheophyta","Magnoliopsida",0,"NO",0,3,"R01775","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",713438,120,3,FALSE,0,0,"R01775","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae"
"75","Austrocylindropuntia subulata","Greece","Vascular plants",2014,6,2012,"Tracheophyta","Magnoliopsida",-2,"NO",4465,16,"R01777","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",46853,144,195,FALSE,0,0,"R01777","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae"
"76","Austropsocus viridis","New Zealand","Insects",2011,2,2020,"Arthropoda","Insecta",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Ballota nigra","Belgium","Vascular plants",2014,104,2007,"Tracheophyta","Magnoliopsida",-7,"NO",3319,530,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,10219,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Bauhinia variegata","Greece","Vascular plants",2013,2,2018,"Tracheophyta","Magnoliopsida",5,"NO",6179,1740,"R01935","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",46853,144,NA,FALSE,10,617.9,"R01935","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae"
"79","Bellardia trixago","Belgium","Vascular plants",2015,6,2011,"Tracheophyta","Magnoliopsida",-4,"NO",771,73,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,3222,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Belonochilus numenius","Greece","Insects",2017,6,2019,"Arthropoda","Insecta",2,"NO",100,13,"R16950","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",41715,144,NA,FALSE,0,0,"R16950","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae"
"81","Belonochilus numenius","Austria","Insects",2011,21,2018,"Arthropoda","Insecta",7,"NO",100,13,"R16950","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",122100,44,NA,FALSE,0,0,"R16950","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae"
"82","Belonochilus numenius","Portugal","Insects",2010,2,2021,"Arthropoda","Insecta",11,"NO",100,13,"R16950","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",52871,83,NA,FALSE,0,0,"R16950","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae"
"83","Belonochilus numenius","Serbia","Insects",2011,1,2020,"Arthropoda","Insecta",9,"NO",100,13,"R16950","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",11129,54,NA,FALSE,0,0,"R16950","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae"
"84","Berberis julianae","Czech Republic","Vascular plants",2010,161,2018,"Tracheophyta","Magnoliopsida",8,"NO",3988,37,"R01979","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",391053,28,NA,TRUE,0,0,"R01979","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae"
"85","Berberis julianae","France","Vascular plants",2011,12,2018,"Tracheophyta","Magnoliopsida",7,"NO",3988,37,"R01979","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",3156527,142,NA,TRUE,79,3150.52,"R01979","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae"
"86","Berberis ottawensis","Austria","Vascular plants",2016,1,2013,"Tracheophyta","Magnoliopsida",-3,"NO",2548,6,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",405467,44,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Berberis thunbergii","Czech Republic","Vascular plants",2011,1184,2017,"Tracheophyta","Magnoliopsida",6,"NO",8537,751,"R01980","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",391053,28,10010,TRUE,100,8537,"R01980","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae"
"88","Bergenia crassifolia","Belgium","Vascular plants",2011,37,2008,"Tracheophyta","Magnoliopsida",-3,"NO",2805,399,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,9285,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
